Log,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_pressure,cp_pressure,cp_temperature,mixer_motor_temperature_M1,mixer_temperature_Funnel_plate,mixer_speed_M2,ac_flowrate,cp_flowrate,mixer_torque_M1,mixer_torque_M2,mixer_motor_temperature_M2,mixer_speed_M1,Time
175,27.7,24.8,0.415,0.573,0.0,19.3,26.4,9.601,112.2,3.0,1.85,1.85,21.1,9.601,10:49:55.907
176,27.7,24.8,0.284,0.603,0.0,18.8,24.9,9.702,112.2,3.0,1.473,2.228,20.7,9.702,10:49:57.024
177,25.6,26.3,0.293,0.491,0.0,19.1,24.9,9.643,112.2,3.0,1.624,1.435,20.7,9.643,10:49:58.145
178,25.6,24.8,0.28,0.584,0.0,19.3,24.9,9.701,112.2,3.0,1.964,2.077,20.9,9.701,10:49:59.267
179,27.7,24.8,0.166,0.546,0.0,19.3,25.0,9.68,112.2,3.0,2.303,1.888,20.7,9.68,10:50:00.371
180,25.6,26.3,0.337,0.493,0.0,18.6,24.9,9.621,112.2,3.0,1.85,1.926,20.7,9.621,10:50:01.490
181,25.6,24.8,0.308,0.635,0.0,18.6,26.4,9.608,112.2,3.0,1.246,2.115,20.9,9.608,10:50:02.597
182,27.7,24.8,0.363,0.63,0.0,19.3,26.4,9.56,112.2,3.0,1.888,1.661,20.7,9.56,10:50:03.717
183,27.7,24.8,0.264,0.521,0.0,19.5,24.9,9.626,112.2,3.0,1.624,2.228,20.7,9.626,10:50:04.840
184,25.6,26.3,0.178,0.582,0.0,19.5,24.9,9.595,112.2,3.0,1.133,1.661,20.7,9.595,10:50:05.958
185,25.6,24.8,0.264,0.533,0.0,19.3,24.9,9.582,112.2,3.0,2.077,1.737,20.9,9.582,10:50:07.077
186,25.6,24.8,0.322,0.577,0.0,19.3,26.4,9.57,112.2,3.0,1.624,1.586,21.1,9.57,10:50:08.210
187,27.7,26.3,0.3,0.497,0.0,19.1,24.9,9.616,112.2,3.0,1.624,2.115,21.1,9.616,10:50:09.311
188,25.6,24.8,0.251,0.458,0.0,18.8,24.9,9.79,112.2,3.0,1.888,1.926,20.9,9.79,10:50:10.432
189,25.6,24.8,0.275,0.546,0.0,19.1,25.0,9.622,112.2,3.0,1.435,2.379,20.9,9.622,10:50:11.556
190,25.6,24.8,0.341,0.564,0.0,18.8,26.4,10.217,112.2,3.0,1.586,2.266,20.9,10.217,10:50:12.676
191,27.7,24.8,0.393,0.565,0.0,19.3,25.0,9.628,112.2,3.0,1.548,1.624,21.1,9.628,10:50:13.800
192,25.6,26.3,0.295,0.579,0.0,19.1,25.0,9.766,112.2,3.0,1.284,1.246,20.7,9.766,10:50:14.906
193,25.6,24.8,0.291,0.582,0.0,18.6,26.4,9.603,112.2,3.0,1.586,1.624,21.3,9.603,10:50:16.014
194,25.6,24.8,0.236,0.568,0.0,18.4,26.4,9.97,112.2,3.0,1.397,1.888,20.9,9.97,10:50:17.132
195,25.6,26.3,0.327,0.508,0.0,20.0,25.0,9.563,112.2,3.0,1.51,1.85,21.1,9.563,10:50:18.251
196,25.6,24.8,0.275,0.574,0.0,19.8,25.0,9.524,112.2,3.0,2.303,1.473,21.1,9.524,10:50:19.370
197,25.6,24.8,0.273,0.569,0.0,19.3,26.4,9.628,112.2,3.0,2.152,2.303,21.1,9.628,10:50:20.487
198,27.7,24.8,0.271,0.588,0.0,19.3,25.0,9.655,112.2,3.0,1.473,1.85,20.9,9.655,10:50:21.608
199,27.7,26.3,0.326,0.579,0.0,19.8,25.0,9.816,112.2,3.0,1.699,1.737,20.9,9.816,10:50:22.730
200,25.6,26.3,0.361,0.602,0.0,19.5,25.0,9.603,112.2,3.0,1.737,2.001,21.1,9.603,10:50:23.853
201,25.6,24.8,0.254,0.538,0.0,19.3,25.0,9.4,112.2,3.0,1.85,2.152,20.7,9.4,10:50:24.988
202,25.6,24.8,0.293,0.651,0.0,18.4,26.4,9.486,112.2,3.0,1.699,1.322,20.9,9.486,10:50:26.110
203,25.6,24.8,0.295,0.613,0.0,18.8,26.4,9.485,112.2,3.0,1.397,1.473,20.7,9.485,10:50:27.248
204,25.6,24.8,0.336,0.518,0.0,19.1,26.4,9.568,112.2,3.0,1.85,1.699,20.9,9.568,10:50:28.370
205,25.6,24.8,0.203,0.569,0.0,19.5,25.0,9.406,112.2,3.0,2.19,2.228,21.1,9.406,10:50:29.504
206,25.6,24.8,0.273,0.546,0.0,19.5,25.0,9.617,112.2,3.0,0.831,1.699,21.1,9.617,10:50:30.604
207,25.6,24.8,0.293,0.619,0.0,18.4,26.4,9.585,112.2,3.0,1.548,1.661,21.1,9.585,10:50:31.730
208,25.7,24.8,0.251,0.648,0.0,19.8,26.4,9.645,112.2,3.0,1.699,1.284,20.7,9.645,10:50:32.845
209,27.7,24.8,0.278,0.571,0.0,19.5,25.0,9.484,112.2,3.0,1.737,2.266,21.1,9.484,10:50:33.969
210,25.6,26.3,0.291,0.47,0.0,19.5,25.0,9.642,112.2,3.0,1.473,1.85,21.1,9.642,10:50:35.087
211,25.7,24.8,0.295,0.565,0.0,19.3,25.0,9.695,112.2,3.0,1.435,1.359,20.9,9.695,10:50:36.207
212,25.7,24.8,0.264,0.533,0.0,19.5,26.4,9.687,112.2,3.0,1.624,2.379,20.7,9.687,10:50:37.326
213,27.7,24.8,0.27,0.574,0.0,19.3,25.0,9.755,112.2,3.0,1.624,1.435,20.7,9.755,10:50:38.444
214,27.8,26.3,0.243,0.576,0.0,19.8,25.0,9.51,112.2,3.0,1.812,1.888,20.9,9.51,10:50:39.563
215,25.7,24.8,0.317,0.474,0.0,19.1,25.0,9.487,112.2,3.0,1.775,2.492,21.1,9.487,10:50:40.682
216,25.7,24.9,0.288,0.592,0.0,19.8,26.4,9.571,112.2,3.0,1.85,1.548,20.7,9.571,10:50:41.801
217,25.7,24.8,0.366,0.559,0.0,19.3,25.0,9.651,112.2,3.0,1.171,2.115,20.7,9.651,10:50:42.922
218,27.8,26.3,0.17,0.541,0.0,18.6,25.0,9.589,112.2,3.0,1.435,1.284,20.9,9.589,10:50:44.043
219,25.7,24.8,0.298,0.631,0.0,19.5,25.0,9.534,112.2,3.0,2.115,1.812,20.7,9.534,10:50:45.163
220,25.7,24.9,0.305,0.551,0.0,19.3,26.4,9.518,112.2,3.0,1.661,2.115,21.1,9.518,10:50:46.287
221,25.7,24.9,0.283,0.621,0.0,19.1,26.4,9.587,112.2,3.0,2.001,1.964,20.7,9.587,10:50:47.407
222,25.7,24.8,0.255,0.584,0.0,19.1,26.4,9.537,112.2,3.0,1.737,1.737,21.1,9.537,10:50:48.542
223,27.8,24.9,0.266,0.584,0.0,18.4,25.0,9.63,112.2,3.0,1.133,2.152,20.9,9.63,10:50:49.664
224,25.7,26.3,0.314,0.596,0.0,18.8,25.0,9.551,112.2,3.0,1.586,1.661,21.1,9.551,10:50:50.783
225,25.7,24.9,0.233,0.558,0.0,19.8,25.0,10.142,112.2,3.0,1.624,2.266,21.1,10.142,10:50:51.907
226,25.7,24.9,0.289,0.554,0.0,18.8,26.5,9.575,112.2,3.0,1.548,2.152,20.9,9.575,10:50:53.029
227,27.8,24.9,0.266,0.626,0.0,19.1,25.0,9.445,112.2,3.0,1.964,1.85,21.1,9.445,10:50:54.148
228,27.8,24.9,0.288,0.648,0.0,19.3,25.0,9.547,112.2,3.0,1.812,2.039,21.1,9.547,10:50:55.285
229,27.8,26.3,0.269,0.61,0.0,19.3,25.0,9.823,112.2,3.0,1.964,1.964,20.9,9.823,10:50:56.406
230,25.7,24.9,0.304,0.635,0.0,18.8,25.0,9.61,112.2,3.0,2.53,1.699,20.9,9.61,10:50:57.540
231,25.7,24.9,0.326,0.533,0.0,18.6,26.5,9.659,112.2,3.0,1.057,1.85,21.1,9.659,10:50:58.655
232,25.7,24.9,0.322,0.619,0.0,18.8,26.5,9.532,112.2,3.0,2.077,2.53,20.9,9.532,10:50:59.774
233,27.8,24.9,0.286,0.624,0.0,19.3,25.0,9.844,112.2,3.0,1.359,2.115,20.9,9.844,10:51:00.896
234,27.8,24.9,0.289,0.576,0.0,18.6,25.0,9.604,112.2,3.0,1.322,1.473,20.7,9.604,10:51:02.019
235,25.7,24.9,0.314,0.671,0.0,19.1,26.5,9.603,112.2,3.0,2.001,1.699,20.7,9.603,10:51:03.142
236,25.7,24.9,0.281,0.533,0.0,19.3,26.5,9.639,112.2,3.0,1.435,1.548,20.9,9.639,10:51:04.260
237,25.7,24.9,0.222,0.658,0.0,19.1,25.0,9.615,112.2,3.0,1.775,1.964,21.3,9.615,10:51:05.377
238,25.7,24.9,0.289,0.624,0.0,18.8,25.0,9.484,112.2,3.0,2.115,1.85,20.9,9.484,10:51:06.515
239,25.7,24.9,0.332,0.551,0.0,19.3,25.0,9.629,112.2,3.0,1.85,1.812,20.7,9.629,10:51:07.631
240,25.7,24.9,0.304,0.587,0.0,18.8,25.0,9.597,112.2,3.0,1.964,1.775,20.9,9.597,10:51:08.754
241,25.7,24.9,0.293,0.605,0.0,18.8,26.5,9.519,112.2,3.0,1.85,1.473,20.9,9.519,10:51:09.870
242,25.7,24.9,0.265,0.563,0.0,19.1,25.0,9.757,112.2,3.0,2.19,1.624,20.9,9.757,10:51:11.007
243,27.8,26.4,0.308,0.602,0.0,19.8,25.0,9.642,112.2,3.0,1.397,1.661,20.7,9.642,10:51:12.127
244,27.8,26.4,0.254,0.533,0.0,18.6,25.0,9.614,112.2,3.0,1.926,1.926,20.7,9.614,10:51:13.260
245,25.7,24.9,0.336,0.643,0.0,19.3,25.0,9.614,112.2,3.0,0.982,2.19,21.1,9.614,10:51:14.380
246,25.7,24.9,0.355,0.444,0.0,18.8,26.5,9.569,112.2,3.0,2.756,1.85,21.1,9.569,10:51:15.503
247,25.7,24.9,0.294,0.608,0.0,19.8,26.5,9.441,112.2,3.0,2.303,1.435,21.1,9.441,10:51:16.627
248,25.8,24.9,0.352,0.574,0.0,18.8,25.0,9.508,112.2,3.0,2.492,1.964,20.7,9.508,10:51:17.746
249,27.8,26.4,0.408,0.536,0.0,18.8,25.0,9.573,112.2,3.0,1.699,2.152,21.1,9.573,10:51:18.864
250,25.7,24.9,0.247,0.608,0.0,19.3,25.1,9.354,112.2,3.0,2.379,1.548,20.9,9.354,10:51:19.986
251,25.8,24.9,0.171,0.72,0.0,19.5,26.5,9.627,112.2,3.0,1.586,1.775,20.7,9.627,10:51:21.113
252,25.8,24.9,0.291,0.568,0.0,19.3,26.5,9.606,112.2,3.0,2.379,1.964,20.9,9.606,10:51:22.252
253,25.8,24.9,0.391,0.597,0.0,18.6,25.1,9.447,112.2,3.0,1.85,1.85,21.1,9.447,10:51:23.375
254,25.8,26.4,0.273,0.591,0.0,19.1,25.1,9.551,112.2,3.0,1.775,2.53,21.1,9.551,10:51:24.497
255,25.8,26.4,0.254,0.636,0.0,19.5,25.1,9.545,112.2,3.0,1.435,2.077,21.3,9.545,10:51:25.636
256,27.9,24.9,0.281,0.625,0.0,18.8,25.1,9.676,112.2,3.0,2.605,1.737,20.9,9.676,10:51:26.759
257,27.9,26.4,0.28,0.569,0.0,19.3,25.1,9.513,112.2,3.0,2.303,2.417,20.9,9.513,10:51:27.905
258,27.9,24.9,0.261,0.56,0.0,19.5,25.1,9.384,112.2,3.0,1.661,1.435,21.1,9.384,10:51:29.026
259,25.8,24.9,0.31,0.569,0.0,18.4,26.5,9.768,112.2,3.0,1.397,1.51,20.7,9.768,10:51:30.140
260,25.8,24.9,0.242,0.598,0.0,18.8,25.1,9.677,112.2,3.0,1.473,2.908,20.7,9.677,10:51:31.265
261,27.9,26.4,0.314,0.529,0.0,19.3,25.1,9.563,112.2,3.0,1.208,2.039,20.7,9.563,10:51:32.383
262,25.8,24.9,0.305,0.631,0.0,18.8,25.1,9.617,112.2,3.0,1.812,2.039,21.1,9.617,10:51:33.499
263,25.8,24.9,0.275,0.643,0.0,19.3,26.5,9.498,112.2,3.0,1.586,2.115,21.1,9.498,10:51:34.614
264,25.8,24.9,0.317,0.605,0.0,19.1,25.1,9.633,112.2,3.0,1.246,1.624,20.9,9.633,10:51:35.733
265,27.9,26.4,0.314,0.641,0.0,18.8,25.1,9.479,112.2,3.0,1.661,1.964,21.1,9.479,10:51:36.854
266,27.9,24.9,0.269,0.53,0.0,19.1,25.1,9.635,112.2,3.0,1.435,2.001,21.3,9.635,10:51:37.975
267,25.8,24.9,0.294,0.621,0.0,19.5,26.5,9.598,112.2,3.0,1.435,1.548,20.7,9.598,10:51:39.095
268,25.8,24.9,0.276,0.64,0.0,19.3,25.1,9.597,112.2,3.0,1.624,2.568,20.9,9.597,10:51:40.215
269,25.8,26.4,0.278,0.574,0.0,19.1,25.1,9.644,112.2,3.0,1.435,1.586,21.1,9.644,10:51:41.337
270,27.9,24.9,0.338,0.555,0.0,19.1,25.1,9.598,112.2,3.0,1.812,1.85,20.9,9.598,10:51:42.458
271,25.8,24.9,0.303,0.535,0.0,19.3,26.6,9.863,112.2,3.0,1.171,1.624,21.1,9.863,10:51:43.576
272,25.8,25.0,0.256,0.668,0.0,19.8,26.6,9.63,112.2,3.0,1.473,1.888,21.1,9.63,10:51:44.713
273,25.8,25.0,0.269,0.615,0.0,19.3,25.1,9.597,112.2,3.0,1.095,2.001,20.9,9.597,10:51:45.829
274,25.8,26.4,0.27,0.574,0.0,19.3,25.1,9.601,112.2,3.0,2.756,1.812,21.6,9.601,10:51:46.954
275,27.9,24.9,0.303,0.546,0.0,18.4,25.1,9.728,112.2,3.0,1.661,1.208,20.7,9.728,10:51:48.074
276,25.8,25.0,0.269,0.573,0.0,18.8,26.6,9.527,112.2,3.0,1.926,2.681,21.1,9.527,10:51:49.195
277,25.8,25.0,0.332,0.616,0.0,18.4,26.6,9.416,112.2,3.0,1.397,1.812,21.1,9.416,10:51:50.315
278,25.8,25.0,0.381,0.593,0.0,18.8,25.1,9.641,112.2,3.0,1.737,1.775,21.1,9.641,10:51:51.433
279,28.0,26.5,0.271,0.549,0.0,18.6,25.1,9.906,112.2,3.0,1.964,2.643,20.7,9.906,10:51:52.557
280,27.9,25.0,0.217,0.558,0.0,19.3,25.1,9.504,112.2,3.0,1.775,1.775,20.9,9.504,10:51:53.679
281,25.8,25.0,0.317,0.546,0.0,19.5,26.6,9.558,112.2,3.0,1.624,2.379,20.9,9.558,10:51:54.800
282,25.8,25.0,0.278,0.612,0.0,18.8,25.2,9.562,112.2,3.0,1.435,1.397,20.7,9.562,10:51:55.917
283,25.8,25.0,0.269,0.591,0.0,19.1,25.2,9.657,112.2,3.0,1.812,2.001,21.1,9.657,10:51:57.065
284,25.8,26.5,0.28,0.619,0.0,19.3,25.2,9.557,112.2,3.0,1.661,2.19,20.7,9.557,10:51:58.183
285,28.0,25.0,0.261,0.565,0.0,18.8,25.2,9.682,112.2,3.0,1.322,2.001,21.1,9.682,10:51:59.297
286,25.9,25.0,0.261,0.587,0.0,19.8,26.6,9.539,112.2,3.0,1.85,2.152,20.9,9.569,10:52:00.422
287,25.9,25.0,0.227,0.573,0.0,19.3,25.2,9.404,112.2,3.0,2.152,1.964,21.1,9.404,10:52:01.540
288,25.9,25.0,0.345,0.607,0.0,18.6,25.2,9.48,112.2,3.0,2.643,1.812,20.7,9.488,10:52:02.662
289,28.0,26.5,0.286,0.584,0.0,19.8,25.2,9.598,112.2,3.0,1.435,2.228,20.9,9.598,10:52:03.786
290,28.0,25.0,0.361,0.559,0.0,18.8,26.6,9.586,112.2,3.0,1.473,1.737,20.7,9.586,10:52:04.910
291,28.0,25.0,0.243,0.584,0.0,18.4,26.6,9.634,112.2,3.0,1.661,1.246,21.1,9.634,10:52:06.050
292,25.9,25.0,0.251,0.571,0.0,18.8,26.6,9.599,112.2,3.0,2.266,2.001,21.1,9.599,10:52:07.171
293,25.9,25.0,0.338,0.64,0.0,19.1,25.2,9.635,112.2,3.0,1.359,2.077,20.9,9.635,10:52:08.288
294,25.9,26.5,0.247,0.669,0.0,19.1,25.2,9.677,112.2,3.0,2.077,2.832,21.1,9.677,10:52:09.410
295,28.0,25.0,0.291,0.571,0.0,19.8,25.2,9.622,112.2,3.0,1.322,1.964,20.9,9.622,10:52:10.535
296,28.0,25.0,0.31,0.584,0.0,19.3,26.6,9.473,112.2,3.0,2.417,1.812,20.7,9.473,10:52:11.657
297,28.0,25.0,0.27,0.621,0.0,19.1,26.6,9.419,112.2,3.0,1.926,1.964,21.1,9.419,10:52:12.793
298,25.9,25.0,0.232,0.653,0.0,18.8,26.6,9.652,112.2,3.0,1.548,1.699,20.7,9.652,10:52:13.929
299,25.9,25.0,0.251,0.587,0.0,18.8,25.2,9.583,112.2,3.0,1.888,1.586,20.9,9.583,10:52:15.059
300,25.9,26.5,0.27,0.469,0.0,18.6,25.2,9.575,112.2,3.0,1.888,2.303,21.1,9.575,10:52:16.181
301,25.9,25.0,0.305,0.577,0.0,19.3,25.2,9.521,112.2,3.0,1.397,2.417,20.9,9.521,10:52:17.297
302,28.0,25.1,0.293,0.608,0.0,19.3,26.7,9.61,112.2,3.0,1.661,1.473,20.9,9.61,10:52:18.411
303,25.9,25.1,0.356,0.53,0.0,18.8,26.7,9.613,112.2,3.0,1.699,1.775,21.1,9.613,10:52:19.534
304,25.9,25.1,0.278,0.546,0.0,18.8,25.2,9.607,112.2,3.0,1.624,2.039,21.1,9.607,10:52:20.657
305,25.9,26.5,0.289,0.596,0.0,18.8,25.2,9.404,112.2,3.0,3.323,2.643,20.9,9.404,10:52:21.776
306,28.0,25.1,0.293,0.582,0.0,19.8,25.2,9.634,112.2,3.0,1.359,2.379,20.7,9.634,10:52:22.895
307,28.0,25.1,0.236,0.564,0.0,19.3,26.7,9.506,112.2,3.0,1.737,1.586,20.9,9.506,10:52:24.029
308,25.9,25.1,0.284,0.608,0.0,18.8,25.2,9.515,112.2,3.0,1.737,1.586,21.1,9.515,10:52:25.147
309,25.9,26.6,0.336,0.541,0.0,18.8,25.2,9.516,112.2,3.0,1.586,1.926,20.7,9.516,10:52:26.268
310,25.9,25.1,0.251,0.641,0.0,19.3,25.2,9.976,112.2,3.0,1.85,2.303,21.1,9.976,10:52:27.388
311,28.0,25.1,0.317,0.469,0.0,18.6,26.7,9.531,112.2,3.0,2.001,1.888,20.7,9.531,10:52:28.509
312,28.0,25.1,0.348,0.619,0.0,19.3,26.7,9.63,112.2,3.0,1.775,2.87,21.1,9.63,10:52:29.632
313,25.9,25.1,0.298,0.568,0.0,18.8,26.7,9.695,112.2,3.0,1.926,1.964,20.9,9.695,10:52:30.768
314,26.0,25.1,0.303,0.568,0.0,19.8,25.2,9.568,112.2,3.0,1.699,1.926,20.9,9.568,10:52:31.887
315,25.9,26.6,0.288,0.624,0.0,18.8,25.3,9.461,112.2,3.0,1.699,1.964,20.9,9.461,10:52:33.002
316,28.0,25.1,0.221,0.658,0.0,18.8,25.3,9.794,112.2,3.0,1.624,2.077,21.1,9.794,10:52:34.123
317,28.0,25.1,0.305,0.579,0.0,19.3,26.7,9.478,112.2,3.0,1.775,2.87,21.1,9.478,10:52:35.254
318,25.9,25.1,0.248,0.602,0.0,19.1,25.3,9.535,112.2,3.0,1.775,2.568,21.3,9.535,10:52:36.374
319,26.0,26.6,0.27,0.607,0.0,18.4,25.3,9.431,112.2,3.0,2.115,1.359,20.9,9.431,10:52:37.494
320,26.0,26.6,0.353,0.651,0.0,18.8,25.3,9.611,112.2,3.0,1.548,1.775,21.1,9.611,10:52:38.623
321,28.0,25.1,0.299,0.629,0.0,19.3,26.7,9.833,112.2,3.0,1.699,2.077,21.1,9.833,10:52:39.741
322,28.0,25.1,0.356,0.501,0.0,19.8,26.7,10.047,112.2,3.0,2.039,1.812,20.9,10.047,10:52:40.880
323,26.0,25.1,0.288,0.679,0.0,18.8,26.7,9.458,112.2,3.0,1.699,1.964,21.1,9.458,10:52:41.999
324,26.0,25.1,0.294,0.678,0.0,19.3,25.3,9.572,112.2,3.0,1.775,1.699,21.1,9.572,10:52:43.120
325,26.0,25.1,0.338,0.524,0.0,19.1,25.3,9.617,112.2,3.0,1.964,1.737,20.9,9.617,10:52:44.226
326,28.1,25.1,0.308,0.584,0.0,19.1,26.7,9.486,112.2,3.0,1.964,2.077,21.1,9.486,10:52:45.347
327,28.1,25.1,0.276,0.651,0.0,18.4,26.7,9.618,112.2,3.0,1.888,1.775,21.1,9.618,10:52:46.485
328,26.0,25.1,0.375,0.574,0.0,19.3,25.3,9.649,112.2,3.0,1.473,2.53,21.1,9.649,10:52:47.608
329,26.0,25.1,0.327,0.648,0.0,18.6,25.3,9.523,112.2,3.0,1.85,2.039,21.1,9.523,10:52:48.743
330,26.0,25.1,0.281,0.563,0.0,18.8,25.3,9.373,112.2,3.0,2.115,2.643,21.1,9.373,10:52:49.880
331,26.0,26.6,0.295,0.565,0.0,18.8,25.3,9.565,112.2,3.0,2.077,2.266,21.1,9.565,10:52:51.003
332,26.0,26.6,0.383,0.605,0.0,19.8,25.3,9.689,112.2,3.0,1.473,1.812,21.1,9.689,10:52:52.135
333,26.0,26.6,0.322,0.61,0.0,19.3,25.3,9.52,112.2,3.0,2.266,1.661,21.1,9.52,10:52:53.272
334,26.0,25.1,0.317,0.598,0.0,19.5,25.3,9.538,112.2,3.0,1.699,2.492,20.9,9.538,10:52:54.395
335,28.1,25.1,0.28,0.574,0.0,19.8,26.7,9.653,112.2,3.0,1.737,1.888,21.1,9.653,10:52:55.513
336,26.0,25.1,0.273,0.598,0.0,19.8,25.3,9.558,112.2,3.0,1.737,1.737,21.1,9.558,10:52:56.647
337,26.0,26.6,0.326,0.625,0.0,18.8,25.3,9.566,112.2,3.0,1.586,1.661,21.3,9.566,10:52:57.768
338,26.0,25.1,0.284,0.543,0.0,19.1,25.3,9.493,112.2,3.0,1.85,2.077,21.1,9.493,10:52:58.888
339,26.0,25.1,0.27,0.619,0.0,19.3,25.3,9.627,112.2,3.0,1.737,2.266,21.1,9.627,10:53:00.025
340,28.1,25.1,0.291,0.593,0.0,18.6,26.7,9.66,112.2,3.0,1.284,2.19,21.1,9.66,10:53:01.147
341,28.1,25.1,0.281,0.602,0.0,18.6,26.7,9.64,112.2,3.0,2.454,1.359,20.9,9.64,10:53:02.266
342,28.1,25.1,0.248,0.648,0.0,18.8,26.7,9.632,112.2,3.0,1.964,2.266,21.1,9.632,10:53:03.404
343,26.0,25.1,0.232,0.596,0.0,18.6,25.3,9.657,112.2,3.0,1.699,2.492,21.3,9.657,10:53:04.529
344,26.0,26.6,0.228,0.492,0.0,19.3,25.3,9.602,112.2,3.0,3.247,1.51,20.7,9.602,10:53:05.649
345,26.0,25.1,0.326,0.649,0.0,19.1,26.7,9.639,112.2,3.0,1.737,2.077,21.1,9.639,10:53:06.772
346,28.1,25.1,0.408,0.573,0.0,19.1,26.7,9.577,112.2,3.0,1.964,1.737,21.1,9.577,10:53:07.894
347,26.0,25.1,0.422,0.624,0.0,19.1,25.3,9.776,112.2,3.0,1.926,1.661,20.9,9.755,10:53:09.012
348,26.0,26.6,0.293,0.569,0.0,19.3,25.3,9.615,112.2,3.0,1.548,2.077,21.6,9.615,10:53:10.130
349,26.0,25.1,0.201,0.563,0.0,19.3,25.3,9.73,112.2,3.0,1.775,2.794,20.9,9.73,10:53:11.248
350,28.1,25.1,0.275,0.653,0.0,18.8,26.7,9.261,112.2,3.0,1.624,2.719,20.9,9.261,10:53:12.365
