Log,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_pressure,cp_pressure,cp_temperature,mixer_motor_temperature_M1,mixer_temperature_Funnel_plate,mixer_speed_M2,ac_flowrate,cp_flowrate,mixer_torque_M1,mixer_torque_M2,mixer_motor_temperature_M2,mixer_speed_M1,Time
351,26.0,25.2,0.259,0.664,0.0,19.8,25.3,9.626,112.2,3.0,0.831,1.85,21.1,9.626,10:53:13.484
352,26.0,26.6,0.288,0.613,0.0,18.8,25.3,9.437,112.2,3.0,1.812,2.228,20.9,9.437,10:53:14.603
353,26.0,25.2,0.303,0.605,0.0,19.3,25.3,9.55,112.2,3.0,1.737,2.643,21.3,9.55,10:53:15.727
354,28.1,25.1,0.394,0.591,0.0,19.1,26.7,9.633,112.2,3.0,1.624,2.077,21.3,9.633,10:53:16.845
355,28.1,25.2,0.273,0.619,0.0,19.3,25.3,9.613,112.2,3.0,2.077,3.172,21.1,9.613,10:53:17.962
356,26.0,25.2,0.303,0.576,0.0,19.8,25.3,9.693,112.2,3.0,2.039,1.926,21.1,9.693,10:53:19.096
357,26.0,26.6,0.299,0.53,0.0,19.3,25.3,9.662,112.2,3.0,1.812,3.059,20.9,9.662,10:53:20.217
358,26.0,26.6,0.316,0.643,0.0,19.8,25.3,9.349,112.2,3.0,1.624,2.115,21.1,9.349,10:53:21.354
359,26.0,25.2,0.338,0.626,0.0,18.8,25.3,9.727,112.2,3.0,2.115,2.039,21.1,9.727,10:53:22.479
360,26.0,25.2,0.278,0.535,0.0,19.8,25.3,9.417,112.2,3.0,1.85,1.812,21.6,9.417,10:53:23.615
361,26.0,25.2,0.4,0.616,0.0,19.3,26.8,9.625,112.2,3.0,1.548,2.152,21.1,9.625,10:53:24.743
362,28.1,25.2,0.28,0.564,0.0,19.3,25.3,9.497,112.2,3.0,1.737,1.888,20.7,9.497,10:53:25.867
363,26.0,26.6,0.281,0.659,0.0,19.5,25.3,9.657,112.2,3.0,2.077,2.53,21.3,9.657,10:53:26.985
364,26.0,26.6,0.286,0.597,0.0,19.5,25.3,9.688,112.2,3.0,2.001,2.379,21.1,9.688,10:53:28.125
365,28.2,25.2,0.353,0.56,0.0,18.6,25.3,9.49,112.2,3.0,1.548,1.397,21.3,9.49,10:53:29.275
366,26.0,26.6,0.383,0.582,0.0,19.5,25.3,9.339,112.2,3.0,2.341,2.568,21.1,9.339,10:53:30.396
367,26.1,25.2,0.294,0.602,0.0,19.8,25.3,9.556,112.2,3.0,1.586,2.001,21.1,9.556,10:53:31.528
368,26.1,25.2,0.166,0.574,0.0,18.8,26.8,9.456,112.2,3.0,1.812,2.19,21.1,9.456,10:53:32.649
369,28.2,25.2,0.294,0.698,0.0,19.3,25.3,9.772,112.2,3.0,1.926,1.661,21.1,9.772,10:53:33.771
370,28.2,25.2,0.299,0.558,0.0,19.3,25.3,9.834,112.2,3.0,2.19,2.568,21.1,9.834,10:53:34.892
371,26.1,26.6,0.295,0.603,0.0,18.8,25.3,9.476,112.2,3.0,2.152,1.926,21.1,9.476,10:53:36.028
372,26.1,25.2,0.26,0.587,0.0,19.5,25.3,9.726,112.2,3.0,1.737,2.341,21.3,9.726,10:53:37.146
373,26.1,25.2,0.383,0.569,0.0,19.3,26.8,9.564,112.2,3.0,1.397,1.548,20.9,9.564,10:53:38.263
374,26.1,25.2,0.35,0.678,0.0,18.6,26.8,9.652,112.2,3.0,1.888,1.926,21.3,9.652,10:53:39.383
375,28.2,25.2,0.281,0.593,0.0,18.8,25.3,9.573,112.2,3.0,2.039,1.85,21.3,9.573,10:53:40.520
376,28.2,25.2,0.271,0.601,0.0,18.6,25.3,9.535,112.2,3.0,2.492,2.341,21.6,9.535,10:53:41.656
377,26.1,26.7,0.25,0.634,0.0,18.8,25.3,9.467,112.2,3.0,1.85,2.001,21.3,9.467,10:53:42.777
378,26.1,25.2,0.316,0.546,0.0,19.1,25.3,9.651,112.2,3.0,1.284,2.228,21.3,9.651,10:53:43.895
379,26.1,25.2,0.276,0.615,0.0,19.1,26.8,9.521,112.2,3.0,2.077,2.379,21.1,9.521,10:53:45.018
380,26.1,25.2,0.264,0.608,0.0,19.1,26.8,9.967,112.2,3.0,1.888,2.341,21.1,9.967,10:53:46.155
381,28.2,25.2,0.291,0.574,0.0,18.8,25.3,9.739,112.2,3.0,2.152,3.059,21.1,9.739,10:53:47.278
382,28.2,25.2,0.248,0.61,0.0,18.8,25.3,9.595,112.2,3.0,1.548,1.548,21.1,9.595,10:53:48.416
383,28.2,26.7,0.305,0.559,0.0,18.8,25.3,9.719,112.2,3.0,2.115,2.001,20.9,9.719,10:53:49.537
384,26.1,26.7,0.299,0.597,0.0,19.8,25.3,9.527,112.2,3.0,1.586,2.077,21.3,9.527,10:53:50.670
385,26.1,25.2,0.343,0.656,0.0,18.6,25.3,9.833,112.2,3.0,1.699,2.152,21.1,9.833,10:53:51.788
386,26.1,25.2,0.305,0.529,0.0,19.8,25.3,9.514,112.2,3.0,1.964,1.926,21.6,9.514,10:53:52.925
387,26.1,25.2,0.284,0.574,0.0,18.6,25.4,9.581,112.2,3.0,1.888,2.379,20.7,9.581,10:53:54.062
388,26.1,25.2,0.299,0.597,0.0,18.8,25.3,9.415,112.2,3.0,1.812,2.266,20.7,9.415,10:53:55.181
389,26.1,25.2,0.289,0.555,0.0,18.8,26.8,9.299,112.2,3.0,1.888,2.266,21.1,9.299,10:53:56.332
390,26.1,25.2,0.289,0.597,0.0,19.3,25.4,9.601,112.2,3.0,1.737,3.814,21.1,9.601,10:53:57.453
391,28.2,25.2,0.336,0.607,0.0,19.3,25.4,9.602,112.2,3.0,2.983,1.888,20.9,9.602,10:53:58.589
392,26.1,26.7,0.256,0.544,0.0,19.3,25.4,9.677,112.2,3.0,1.699,2.266,21.1,9.677,10:53:59.709
393,26.1,25.2,0.24,0.577,0.0,19.8,25.4,9.558,112.2,3.0,2.303,2.681,21.3,9.558,10:54:00.834
394,26.1,25.2,0.271,0.592,0.0,19.3,26.8,9.234,112.2,3.0,1.737,2.379,20.7,9.234,10:54:01.950
395,26.1,25.2,0.345,0.631,0.0,19.5,26.8,9.675,112.2,3.0,2.605,3.021,21.1,9.675,10:54:03.087
396,26.1,25.2,0.232,0.626,0.0,19.8,25.4,9.526,112.2,3.0,2.53,1.51,21.6,9.526,10:54:04.211
397,26.1,25.2,0.26,0.565,0.0,18.8,25.4,9.499,112.2,3.0,2.908,1.85,21.3,9.499,10:54:05.351
398,28.2,26.7,0.31,0.676,0.0,18.8,25.4,9.521,112.2,3.0,1.775,2.341,21.1,9.521,10:54:06.470
399,28.2,26.7,0.303,0.673,0.0,19.8,25.4,9.58,112.2,3.0,2.115,2.87,21.1,9.58,10:54:07.604
400,26.1,25.2,0.226,0.621,0.0,18.8,25.4,9.65,112.2,3.0,1.699,2.19,21.3,9.65,10:54:08.739
401,26.1,25.2,0.286,0.638,0.0,19.1,26.8,9.841,112.2,3.0,2.605,2.152,20.9,9.841,10:54:09.858
402,26.1,25.2,0.245,0.592,0.0,19.3,26.8,9.564,112.2,3.0,2.039,2.454,21.3,9.564,10:54:10.992
403,26.1,25.2,0.308,0.613,0.0,19.5,25.4,9.649,112.2,3.0,1.586,2.341,21.3,9.649,10:54:12.110
404,28.2,26.7,0.273,0.636,0.0,18.8,25.4,9.581,112.2,3.0,1.964,1.926,21.1,9.581,10:54:13.230
405,26.1,25.3,0.358,0.615,0.0,19.8,25.4,9.547,112.2,3.0,1.964,2.417,21.1,9.547,10:54:14.351
406,26.1,25.2,0.298,0.605,0.0,19.3,26.9,9.386,112.2,3.0,1.624,2.039,21.1,9.386,10:54:15.471
407,26.2,25.3,0.242,0.608,0.0,18.6,25.4,9.466,112.2,3.0,2.001,2.228,21.3,9.466,10:54:16.590
408,26.1,25.2,0.233,0.64,0.0,20.2,25.4,9.534,112.2,3.0,1.964,1.548,20.9,9.534,10:54:17.729
409,26.1,25.3,0.319,0.616,0.0,19.5,25.4,9.518,112.2,3.0,1.926,2.417,21.1,9.518,10:54:18.863
410,26.2,25.3,0.266,0.619,0.0,20.0,25.4,9.708,112.2,3.0,1.926,2.341,21.3,9.708,10:54:20.005
411,26.2,25.3,0.209,0.615,0.0,19.8,25.4,9.472,112.2,3.0,1.964,2.719,21.3,9.472,10:54:21.144
412,28.2,26.7,0.355,0.674,0.0,19.8,25.4,9.613,112.2,3.0,1.208,3.21,21.1,9.613,10:54:22.265
413,28.2,26.7,0.266,0.591,0.0,20.0,25.4,9.652,112.2,3.0,2.681,2.19,21.6,9.652,10:54:23.404
414,28.3,26.7,0.319,0.608,0.0,18.8,25.4,9.954,112.2,3.0,1.85,1.624,21.6,9.954,10:54:24.543
415,26.2,25.3,0.331,0.53,0.0,19.5,25.4,9.509,112.2,3.0,1.964,1.661,21.1,9.509,10:54:25.677
416,28.2,25.3,0.298,0.568,0.0,19.5,25.4,9.586,112.2,3.0,2.19,2.341,21.6,9.586,10:54:26.814
417,26.2,25.3,0.298,0.64,0.0,18.6,26.9,9.585,112.2,3.0,1.095,2.568,21.1,9.585,10:54:27.937
418,26.2,25.3,0.343,0.546,0.0,18.8,26.9,9.498,112.2,3.0,4.456,2.228,21.6,9.498,10:54:29.059
419,26.2,25.3,0.278,0.619,0.0,19.8,25.4,9.721,112.2,3.0,1.51,1.661,21.1,9.721,10:54:30.179
420,26.2,25.3,0.276,0.621,0.0,20.0,25.4,9.645,112.2,3.0,2.077,1.964,21.6,9.645,10:54:31.314
421,28.3,26.7,0.198,0.577,0.0,19.1,25.4,9.801,112.2,3.0,2.643,2.568,21.1,9.801,10:54:32.450
422,26.2,25.3,0.231,0.631,0.0,19.8,25.4,9.642,112.2,3.0,1.888,2.756,21.1,9.642,10:54:33.600
423,26.2,25.3,0.323,0.551,0.0,19.1,25.4,9.602,112.2,3.0,1.586,2.152,20.7,9.602,10:54:34.735
424,26.2,25.3,0.248,0.564,0.0,19.1,25.4,9.521,112.2,3.0,1.624,1.624,20.9,9.521,10:54:35.875
425,28.3,26.8,0.231,0.541,0.0,19.3,25.4,9.723,112.2,3.0,1.85,2.228,21.1,9.723,10:54:37.010
426,28.3,26.7,0.291,0.654,0.0,18.8,25.4,9.471,112.2,3.0,2.115,2.605,21.6,9.471,10:54:38.146
427,28.3,25.3,0.308,0.576,0.0,18.8,25.4,9.458,112.2,3.0,1.624,1.85,21.3,9.458,10:54:39.270
428,28.3,25.3,0.345,0.605,0.0,19.1,25.4,9.641,112.2,3.0,1.51,2.945,21.1,9.641,10:54:40.406
429,26.2,25.3,0.304,0.619,0.0,18.8,26.9,9.446,112.2,3.0,2.832,2.19,20.7,9.446,10:54:41.528
430,26.2,25.3,0.295,0.668,0.0,19.5,26.9,9.577,112.2,3.0,2.454,1.397,21.3,9.577,10:54:42.662
431,26.2,25.3,0.308,0.588,0.0,19.8,26.9,9.611,112.2,3.0,1.775,2.492,21.1,9.611,10:54:43.796
432,26.2,25.3,0.365,0.656,0.0,20.0,25.5,9.69,112.2,3.0,1.246,2.341,20.9,9.69,10:54:44.931
433,26.2,25.3,0.261,0.638,0.0,19.3,25.4,9.662,112.2,3.0,1.624,2.077,21.1,9.662,10:54:46.069
434,26.2,25.3,0.358,0.593,0.0,18.8,25.4,9.535,112.2,3.0,1.359,2.228,20.9,9.535,10:54:47.206
435,26.2,25.3,0.281,0.543,0.0,19.8,25.5,9.602,112.2,3.0,2.228,2.077,21.3,9.602,10:54:48.344
436,26.2,25.3,0.295,0.643,0.0,19.8,25.4,9.554,112.2,3.0,1.812,2.454,21.1,9.554,10:54:49.476
437,26.2,26.8,0.247,0.596,0.0,19.1,25.4,9.465,112.2,3.0,1.699,3.738,21.1,9.465,10:54:50.615
438,26.2,25.3,0.366,0.629,0.0,19.5,25.5,9.742,112.2,3.0,1.964,2.266,21.1,9.742,10:54:51.780
439,26.2,25.3,0.26,0.605,0.0,19.5,25.5,9.647,112.2,3.0,1.85,2.266,21.3,9.647,10:54:52.917
440,26.2,25.3,0.26,0.607,0.0,19.3,25.5,9.717,112.2,3.0,2.756,2.001,21.3,9.717,10:54:54.054
441,26.2,25.3,0.328,0.654,0.0,19.1,25.5,9.903,112.2,3.0,2.681,1.397,21.1,9.903,10:54:55.189
442,26.2,25.3,0.269,0.592,0.0,19.8,25.5,9.541,112.2,3.0,1.85,2.756,21.1,9.541,10:54:56.325
443,26.2,25.3,0.299,0.597,0.0,18.8,25.4,9.458,112.2,3.0,1.964,2.568,21.6,9.458,10:54:57.463
444,26.2,25.3,0.331,0.525,0.0,18.8,25.5,9.366,112.2,3.0,1.812,2.266,21.1,9.366,10:54:58.604
445,26.2,25.3,0.388,0.569,0.0,19.1,25.5,9.671,112.2,3.0,2.681,2.643,21.3,9.671,10:54:59.743
446,26.2,25.3,0.308,0.691,0.0,18.8,25.4,9.523,112.2,3.0,2.039,2.228,21.1,9.523,10:55:00.882
447,26.2,25.3,0.314,0.548,0.0,19.1,25.5,9.837,112.2,3.0,2.077,1.888,20.9,9.837,10:55:02.022
448,26.2,25.3,0.283,0.63,0.0,19.3,25.5,9.743,112.2,3.0,1.926,2.115,21.1,9.743,10:55:03.154
449,26.2,26.8,0.283,0.654,0.0,19.5,25.5,9.707,112.2,3.0,2.379,2.756,21.1,9.707,10:55:04.288
450,26.2,26.8,0.338,0.601,0.0,19.3,25.5,9.586,112.2,3.0,1.435,2.492,21.6,9.586,10:55:05.424
451,28.3,25.3,0.385,0.684,0.0,19.1,25.5,9.637,112.2,3.0,2.908,1.812,21.1,9.637,10:55:06.557
452,28.3,25.3,0.289,0.571,0.0,18.8,25.5,9.522,112.2,3.0,1.926,1.812,21.3,9.522,10:55:07.694
453,26.2,25.3,0.208,0.56,0.0,18.8,26.9,9.369,112.2,3.0,1.888,2.115,21.3,9.369,10:55:08.894
454,28.3,25.3,0.27,0.635,0.0,18.8,25.5,9.627,112.2,3.0,1.586,2.379,21.3,9.627,10:55:10.056
455,28.3,25.3,0.243,0.603,0.0,18.8,26.9,9.858,112.2,3.0,1.284,2.568,21.3,9.858,10:55:11.195
456,26.2,25.3,0.348,0.612,0.0,19.3,26.9,9.591,112.2,3.0,1.775,2.492,21.1,9.591,10:55:12.329
457,26.2,25.3,0.293,0.588,0.0,18.6,26.9,9.496,112.2,3.0,1.964,2.228,21.3,9.496,10:55:13.460
458,26.2,25.3,0.294,0.577,0.0,19.8,26.9,9.6,112.2,3.0,1.85,2.379,21.1,9.6,10:55:14.592
459,26.2,25.3,0.266,0.61,0.0,19.3,26.9,9.801,112.2,3.0,3.663,2.152,21.1,9.801,10:55:15.739
460,26.2,25.3,0.293,0.598,0.0,19.3,26.9,9.646,112.2,3.0,2.681,2.077,21.3,9.646,10:55:16.876
461,26.2,25.3,0.264,0.511,0.0,19.5,25.5,9.576,112.2,3.0,1.51,2.19,21.3,9.576,10:55:18.010
462,26.2,25.3,0.203,0.592,0.0,19.1,26.9,10.476,112.2,3.0,2.87,2.039,21.1,10.476,10:55:19.161
463,26.2,25.3,0.286,0.577,0.0,20.2,25.5,9.592,112.2,3.0,2.001,2.152,21.6,9.592,10:55:20.295
464,26.2,25.3,0.206,0.546,0.0,19.8,25.5,9.64,112.2,3.0,1.737,2.077,21.3,9.64,10:55:21.428
465,26.2,26.7,0.377,0.663,0.0,18.8,25.5,9.599,112.2,3.0,2.417,2.719,21.1,9.599,10:55:22.561
466,26.2,26.8,0.269,0.603,0.0,19.8,25.5,9.731,112.2,3.0,1.284,2.115,21.3,9.731,10:55:23.693
467,26.2,26.8,0.398,0.678,0.0,19.8,25.5,9.634,112.2,3.0,1.699,3.247,21.1,9.634,10:55:24.826
468,26.2,26.7,0.223,0.635,0.0,18.6,25.5,9.567,112.2,3.0,1.661,2.115,21.1,9.567,10:55:25.964
469,26.2,26.7,0.259,0.56,0.0,19.8,25.5,9.475,112.2,3.0,1.737,2.077,21.1,9.475,10:55:27.115
470,26.2,26.7,0.332,0.621,0.0,19.3,25.5,9.586,112.2,3.0,2.19,2.001,21.1,9.586,10:55:28.255
471,26.2,25.3,0.394,0.574,0.0,18.6,26.9,9.555,112.2,3.0,1.699,1.926,21.1,9.555,10:55:29.423
472,26.2,25.3,0.305,0.612,0.0,18.8,25.5,9.563,112.2,3.0,1.397,2.379,21.1,9.563,10:55:30.561
473,28.3,25.3,0.242,0.563,0.0,19.8,26.9,9.474,112.2,3.0,2.077,1.586,21.1,9.474,10:55:31.722
474,28.3,25.3,0.227,0.541,0.0,18.4,26.9,9.524,112.2,3.0,2.303,2.379,21.6,9.524,10:55:32.858
475,28.3,25.3,0.304,0.681,0.0,18.8,26.9,9.815,112.2,3.0,1.888,2.643,20.9,9.815,10:55:33.993
476,26.2,25.3,0.276,0.636,0.0,19.1,25.5,9.43,112.2,3.0,2.001,2.341,21.6,9.43,10:55:35.125
477,26.2,25.3,0.243,0.568,0.0,18.6,25.5,9.874,112.2,3.0,1.964,2.303,21.6,9.874,10:55:36.258
478,26.2,25.3,0.271,0.646,0.0,19.3,25.5,9.709,112.2,3.0,1.548,2.53,21.1,9.709,10:55:37.395
479,26.2,26.7,0.303,0.612,0.0,19.3,25.5,9.673,112.2,3.0,2.077,2.681,21.1,9.673,10:55:38.525
480,26.2,26.7,0.264,0.613,0.0,18.4,25.5,9.423,112.2,3.0,2.303,1.85,21.3,9.423,10:55:39.661
481,26.2,26.7,0.288,0.619,0.0,18.8,25.5,9.602,112.2,3.0,1.926,2.719,21.1,9.602,10:55:40.801
482,26.2,26.7,0.231,0.579,0.0,19.8,25.5,9.699,112.2,3.0,2.379,2.19,20.9,9.699,10:55:41.936
483,26.2,26.7,0.281,0.656,0.0,19.3,25.5,9.625,112.2,3.0,1.435,2.87,20.9,9.625,10:55:43.087
484,28.3,25.3,0.281,0.548,0.0,19.3,26.9,9.534,112.2,3.0,1.51,2.19,20.9,9.534,10:55:44.257
485,28.3,25.3,0.345,0.619,0.0,19.8,26.9,9.56,112.2,3.0,2.454,2.454,21.1,9.56,10:55:45.394
486,26.2,25.3,0.341,0.651,0.0,19.8,25.5,9.364,112.2,3.0,2.983,3.247,20.9,9.364,10:55:46.527
487,28.3,25.3,0.313,0.603,0.0,19.1,27.0,9.687,112.2,3.0,2.681,2.832,21.1,9.687,10:55:47.685
488,28.3,25.3,0.154,0.553,0.0,19.3,25.5,9.484,112.2,3.0,1.473,3.247,21.1,9.484,10:55:48.819
489,28.3,25.3,0.3,0.601,0.0,20.0,25.5,9.621,112.2,3.0,1.359,3.172,21.1,9.621,10:55:49.956
490,26.2,25.3,0.314,0.563,0.0,19.3,25.5,9.633,112.2,3.0,2.152,1.85,21.1,9.633,10:55:51.091
491,26.2,25.3,0.36,0.671,0.0,19.8,25.5,9.764,112.2,3.0,2.568,2.417,21.6,9.764,10:55:52.229
492,26.2,25.3,0.254,0.643,0.0,19.1,25.5,9.484,112.2,3.0,2.001,2.228,21.6,9.484,10:55:53.365
493,26.3,26.7,0.281,0.691,0.0,19.5,25.5,9.184,112.2,3.0,2.832,2.266,21.6,9.184,10:55:54.500
494,28.3,25.3,0.319,0.63,0.0,19.8,25.5,9.603,112.2,3.0,1.246,3.172,21.1,9.603,10:55:55.654
495,28.3,25.3,0.283,0.696,0.0,19.3,27.0,9.527,112.2,3.0,1.473,1.775,21.1,9.527,10:55:56.807
496,28.3,25.3,0.303,0.663,0.0,19.8,27.0,9.741,112.2,3.0,1.661,1.737,21.3,9.741,10:55:57.941
497,28.3,25.3,0.332,0.563,0.0,19.8,25.5,9.531,112.2,3.0,1.548,2.228,21.3,9.531,10:55:59.078
498,28.3,25.3,0.293,0.549,0.0,19.8,25.5,9.618,112.2,3.0,1.775,2.077,21.1,9.618,10:56:00.213
499,26.2,25.3,0.27,0.659,0.0,19.1,25.5,9.28,112.2,3.0,2.152,2.605,21.6,9.28,10:56:01.349
500,26.2,26.7,0.273,0.525,0.0,19.1,25.5,9.576,112.2,3.0,1.699,2.756,21.1,9.576,10:56:02.483
501,28.3,25.3,0.38,0.551,0.0,19.8,25.5,9.743,112.2,3.0,1.322,2.228,21.1,9.743,10:56:03.635
502,28.3,25.3,0.343,0.671,0.0,18.4,25.5,9.51,112.2,3.0,1.737,2.454,21.1,9.51,10:56:04.780
503,28.3,25.3,0.372,0.607,0.0,19.3,25.5,9.76,112.2,3.0,1.624,1.624,21.6,9.76,10:56:05.919
504,28.3,25.3,0.298,0.651,0.0,18.8,25.5,9.526,112.2,3.0,1.51,1.888,21.6,9.526,10:56:07.052
505,26.3,26.8,0.298,0.612,0.0,19.5,25.5,9.496,112.2,3.0,2.492,3.436,21.1,9.496,10:56:08.188
506,26.3,26.8,0.327,0.615,0.0,19.8,25.5,9.829,112.2,3.0,2.492,2.303,21.6,9.829,10:56:09.324
507,28.3,25.3,0.281,0.602,0.0,18.8,25.5,9.426,112.2,3.0,1.85,2.039,21.6,9.426,10:56:10.475
508,26.3,25.3,0.288,0.631,0.0,19.3,25.5,9.404,112.2,3.0,2.341,2.228,21.1,9.404,10:56:11.613
509,26.3,26.8,0.254,0.596,0.0,19.8,25.5,9.417,112.2,3.0,1.85,2.87,21.6,9.417,10:56:12.749
510,26.3,26.8,0.308,0.668,0.0,19.3,25.5,9.687,112.2,3.0,1.397,2.605,21.6,9.687,10:56:13.887
511,28.3,25.3,0.265,0.682,0.0,19.1,25.5,9.683,112.2,3.0,1.926,2.152,20.9,9.683,10:56:15.041
512,26.3,25.3,0.333,0.569,0.0,19.3,25.5,9.854,112.2,3.0,2.379,1.737,21.1,9.854,10:56:16.179
513,26.3,26.8,0.295,0.593,0.0,19.8,25.5,9.528,112.2,3.0,3.247,2.341,21.3,9.528,10:56:17.312
514,26.3,26.8,0.288,0.625,0.0,19.8,25.5,9.672,112.2,3.0,2.643,3.134,21.6,9.672,10:56:18.450
515,28.4,25.3,0.251,0.586,0.0,19.3,25.5,9.57,112.2,3.0,2.492,2.53,21.3,9.57,10:56:19.604
516,28.3,25.3,0.336,0.549,0.0,18.6,25.5,9.541,112.2,3.0,1.624,2.417,21.1,9.541,10:56:20.748
517,28.3,25.3,0.165,0.587,0.0,19.3,25.5,10.126,112.2,3.0,2.303,2.379,21.1,10.126,10:56:21.882
518,28.3,25.3,0.385,0.603,0.0,19.5,25.5,9.551,112.2,3.0,2.077,2.53,21.1,9.551,10:56:23.023
519,26.3,26.8,0.278,0.64,0.0,19.5,25.5,9.558,112.2,3.0,1.699,2.19,21.1,9.558,10:56:24.159
520,26.3,26.8,0.347,0.605,0.0,19.3,25.5,9.615,112.2,3.0,1.964,2.794,21.1,9.615,10:56:25.297
521,26.3,26.8,0.256,0.564,0.0,20.0,25.5,9.419,112.2,3.0,2.115,2.152,21.1,9.419,10:56:26.432
522,26.3,26.8,0.28,0.676,0.0,18.8,25.5,9.735,112.2,3.0,1.473,1.926,21.6,9.735,10:56:27.570
523,28.4,25.3,0.236,0.615,0.0,19.3,25.5,9.824,112.2,3.0,1.661,1.964,21.8,9.824,10:56:28.726
524,28.4,25.3,0.293,0.593,0.0,19.3,25.6,9.616,112.2,3.0,1.624,2.454,21.1,9.616,10:56:29.874
525,26.3,25.3,0.247,0.597,0.0,19.3,25.6,9.608,112.2,3.0,2.001,2.266,21.6,9.608,10:56:31.022
526,28.4,25.3,0.305,0.613,0.0,19.3,25.6,9.652,112.2,3.0,1.586,2.228,21.1,9.652,10:56:32.159
527,28.3,25.3,0.286,0.631,0.0,19.5,25.5,9.613,112.2,3.0,1.548,2.228,21.3,9.613,10:56:33.295
