Log,ac_flowrate,mixer_motor_temperature_M2,mixer_pressure,mixer_torque_M2,cp_flowrate,mixer_torque_M1,mixer_motor_temperature_M1,mixer_temperature_Funnel_outlet,mixer_speed_M2,cp_pressure,cp_temperature,mixer_speed_M1,mixer_temperature_Funnel,Time
1,111.0,16.3,0.178,2.568,3.0,1.812,15.0,22.0,119.934,0.636,22.6,119.934,21.5,09:39:12.378
2,111.0,16.3,0.192,2.568,3.0,2.228,15.4,22.0,120.028,0.616,24.0,120.028,21.5,09:39:13.497
3,111.0,16.3,0.189,2.454,3.0,2.53,15.0,22.0,120.033,0.676,24.0,120.033,21.5,09:39:14.611
4,111.0,16.8,0.227,2.228,3.0,2.719,14.5,24.0,119.963,0.646,22.6,119.963,23.0,09:39:15.717
5,111.0,16.1,0.226,2.001,3.0,2.53,14.5,22.0,119.994,0.598,24.0,119.994,21.5,09:39:16.823
6,111.0,16.6,0.288,2.379,3.0,2.228,14.5,24.0,119.982,0.667,22.6,119.982,23.0,09:39:17.924
7,111.0,16.6,0.232,2.115,3.0,2.077,15.0,22.0,119.96,0.66,22.6,119.96,21.5,09:39:19.029
8,111.0,16.3,0.303,2.077,3.0,2.417,14.5,22.0,119.994,0.619,22.6,119.994,21.5,09:39:20.132
9,111.0,16.8,0.264,2.379,3.0,2.039,14.1,24.0,120.03,0.679,22.6,120.03,21.5,09:39:21.234
10,111.0,16.3,0.289,2.341,3.0,1.85,14.8,22.0,119.954,0.64,24.0,119.954,21.5,09:39:22.338
11,111.0,16.8,0.199,2.152,3.0,2.605,15.2,24.0,119.987,0.663,22.6,119.987,23.0,09:39:23.445
12,111.0,16.6,0.221,2.53,3.0,2.53,14.5,22.0,119.953,0.71,24.0,119.953,21.5,09:39:24.550
13,111.0,16.1,0.232,2.454,3.0,2.756,14.5,22.0,119.795,0.645,22.6,119.795,23.0,09:39:25.654
14,111.0,16.8,0.232,2.341,3.0,2.605,14.5,22.0,120.053,0.66,24.0,120.053,21.5,09:39:26.755
15,111.0,16.8,0.242,2.832,3.0,2.756,14.3,22.0,120.012,0.693,22.6,120.012,21.5,09:39:27.865
16,111.0,16.6,0.24,2.454,3.0,2.53,15.2,24.0,120.178,0.636,22.6,120.178,21.5,09:39:28.971
17,111.0,16.8,0.254,2.454,3.0,2.303,13.8,24.0,120.001,0.664,24.0,120.001,21.5,09:39:30.069
18,111.0,16.8,0.237,2.643,3.0,3.134,14.8,22.0,120.268,0.714,22.6,120.268,23.0,09:39:31.182
19,111.0,16.6,0.255,3.927,3.0,2.681,14.5,22.0,119.04,0.697,24.0,119.04,21.5,09:39:32.283
20,111.0,16.1,0.256,2.077,3.0,2.605,14.5,22.0,119.906,0.631,22.6,119.906,21.5,09:39:33.394
21,111.0,16.3,0.248,2.152,3.0,2.228,15.0,22.0,120.026,0.707,22.6,120.026,23.0,09:39:34.505
22,111.0,16.6,0.24,2.908,3.0,3.059,14.3,22.0,120.171,0.619,24.0,120.171,21.6,09:39:35.612
23,111.0,17.0,0.238,2.643,3.0,2.908,14.8,22.0,120.257,0.635,22.6,120.257,21.5,09:39:36.717
24,111.0,16.6,0.217,2.681,3.0,2.605,14.5,24.0,119.905,0.676,22.6,119.905,21.6,09:39:37.829
25,111.0,16.6,0.254,1.964,3.0,2.492,15.2,24.0,119.844,0.648,24.0,119.844,21.5,09:39:38.949
26,111.0,16.3,0.266,2.303,3.0,3.059,14.8,22.0,119.77,0.636,22.6,119.77,21.5,09:39:40.057
27,111.0,16.6,0.24,2.568,3.0,2.643,15.0,22.0,120.199,0.645,22.6,120.199,21.5,09:39:41.174
28,111.0,16.1,0.221,2.492,3.0,2.53,15.0,24.0,119.873,0.577,24.0,119.873,21.5,09:39:42.282
29,111.0,16.1,0.276,3.436,3.0,2.341,14.8,22.0,120.172,0.676,22.6,120.172,21.5,09:39:43.383
30,111.0,17.0,0.231,2.643,3.0,2.681,15.0,24.0,120.037,0.691,24.0,120.037,21.5,09:39:44.494
31,111.0,16.6,0.201,3.059,3.0,3.436,15.4,22.0,119.907,0.621,22.6,119.907,21.5,09:39:45.606
32,111.0,16.6,0.247,2.417,3.0,3.285,14.1,22.0,119.515,0.671,22.6,119.515,21.6,09:39:46.706
33,111.0,16.6,0.254,2.454,3.0,2.87,14.1,24.0,119.994,0.671,24.0,119.994,21.6,09:39:47.809
34,111.0,17.0,0.288,2.568,3.0,2.568,14.8,22.0,119.86,0.625,22.6,119.86,23.0,09:39:48.916
35,111.0,16.6,0.242,2.492,3.0,2.341,14.5,24.0,119.966,0.631,24.0,119.966,21.6,09:39:50.020
36,111.0,16.8,0.299,3.285,3.0,3.059,14.3,22.0,119.937,0.596,22.6,119.937,21.6,09:39:51.128
37,111.0,16.8,0.289,3.021,3.0,2.908,14.5,22.0,119.934,0.626,22.6,119.934,21.6,09:39:52.234
38,111.0,16.8,0.256,2.492,3.0,2.115,15.4,24.0,120.032,0.688,24.0,120.032,21.5,09:39:53.338
39,111.0,17.0,0.214,2.53,3.0,2.568,15.0,22.0,120.292,0.636,22.6,120.292,21.6,09:39:54.455
40,111.0,16.8,0.243,2.417,3.0,2.945,15.2,22.0,120.411,0.682,22.6,120.411,21.6,09:39:55.563
41,111.0,17.0,0.245,2.643,3.0,2.908,15.0,24.1,120.008,0.686,22.6,120.008,21.6,09:39:56.670
42,111.0,16.8,0.273,2.605,3.0,2.266,15.4,22.0,120.344,0.653,22.6,120.344,23.0,09:39:57.777
43,111.0,17.0,0.251,2.152,3.0,2.605,15.4,22.0,119.874,0.654,24.0,119.874,21.6,09:39:58.887
44,111.0,16.6,0.242,2.908,3.0,2.719,14.8,22.0,120.202,0.664,22.6,120.202,23.0,09:39:59.993
45,111.0,17.3,0.283,2.568,3.0,2.87,15.0,22.0,119.939,0.593,24.0,119.939,21.6,09:40:01.093
46,111.0,16.8,0.256,2.266,3.0,3.172,14.3,24.0,120.008,0.646,22.6,120.008,21.6,09:40:02.202
47,111.0,17.0,0.222,2.605,3.0,2.756,14.8,22.0,120.02,0.679,22.6,120.02,23.0,09:40:03.307
48,111.0,16.6,0.255,2.681,3.0,2.454,15.0,22.0,119.903,0.603,24.0,119.903,21.6,09:40:04.412
49,111.0,16.8,0.232,2.417,3.0,2.492,15.4,22.0,119.9,0.692,22.6,119.9,23.0,09:40:05.520
50,111.0,17.0,0.248,3.021,3.0,3.587,15.4,22.0,119.945,0.707,24.0,119.945,21.6,09:40:06.623
51,111.0,17.3,0.232,2.908,3.0,2.87,14.8,24.0,119.857,0.63,22.6,119.857,21.6,09:40:07.722
52,111.0,16.6,0.276,2.908,3.0,3.172,15.4,22.0,119.18,0.638,22.6,119.18,21.6,09:40:08.824
53,111.0,16.8,0.25,2.341,3.0,3.398,14.5,22.0,119.72,0.724,24.1,119.72,21.6,09:40:09.930
54,111.0,16.6,0.26,2.568,3.0,2.87,14.5,22.0,120.593,0.646,22.6,120.593,21.6,09:40:11.033
55,111.0,16.8,0.251,3.096,3.0,2.983,15.2,22.0,120.061,0.71,24.1,120.061,21.6,09:40:12.139
56,111.0,16.8,0.271,2.53,3.0,3.776,14.8,24.1,120.29,0.682,22.6,120.29,23.0,09:40:13.249
57,111.0,17.0,0.228,3.361,3.0,2.87,15.7,22.0,119.867,0.643,22.6,119.867,21.6,09:40:14.356
58,111.0,17.0,0.248,2.681,3.0,2.719,15.0,24.0,120.178,0.686,22.6,120.178,21.6,09:40:15.460
59,111.0,16.8,0.256,2.756,3.0,3.361,15.4,22.0,119.903,0.693,22.7,119.903,21.6,09:40:16.563
60,111.0,16.6,0.281,3.398,3.0,3.7,14.3,22.0,120.046,0.64,24.1,120.046,21.6,09:40:17.669
61,111.0,17.0,0.31,2.643,3.0,2.568,15.2,24.1,120.254,0.663,22.6,120.254,23.0,09:40:18.777
62,111.0,17.0,0.236,2.303,3.0,2.87,15.0,22.0,119.816,0.676,22.7,119.816,21.6,09:40:19.885
63,111.0,17.0,0.231,2.832,3.0,2.945,15.2,22.0,120.086,0.634,22.7,120.086,21.6,09:40:20.992
64,111.0,17.0,0.265,3.398,3.0,2.832,15.0,22.0,120.98,0.664,22.7,120.98,23.0,09:40:22.099
65,111.0,16.6,0.259,2.379,3.0,3.059,15.4,22.0,119.926,0.679,24.1,119.926,21.6,09:40:23.203
66,111.0,17.0,0.265,3.021,3.0,3.21,15.2,24.1,119.995,0.667,22.7,119.995,21.6,09:40:24.316
67,111.0,17.3,0.276,3.021,3.0,3.323,15.0,22.0,120.033,0.673,22.7,120.033,21.6,09:40:25.428
68,111.0,17.0,0.264,2.983,3.0,2.719,15.4,22.0,119.799,0.62,22.7,119.799,21.6,09:40:26.529
69,111.0,16.8,0.251,3.323,3.0,3.134,14.1,24.1,119.855,0.658,22.7,119.855,23.0,09:40:27.650
70,111.0,17.3,0.266,3.021,3.0,2.379,15.0,24.1,119.749,0.641,22.7,119.749,21.6,09:40:28.757
71,111.0,17.5,0.269,3.059,3.0,3.059,15.0,22.0,120.099,0.631,24.1,120.099,21.6,09:40:29.867
72,111.0,16.6,0.233,2.87,3.0,2.908,15.4,24.1,120.427,0.671,22.7,120.427,23.0,09:40:30.974
73,111.0,17.0,0.276,2.983,3.0,3.587,15.0,22.0,119.776,0.66,24.1,119.776,21.6,09:40:32.080
74,111.0,17.3,0.289,3.096,3.0,3.776,15.0,22.0,120.233,0.671,22.7,120.233,23.0,09:40:33.183
75,111.0,16.8,0.293,3.663,3.0,3.361,15.0,22.0,119.927,0.693,22.7,119.927,21.6,09:40:34.293
76,111.0,17.0,0.291,3.096,3.0,3.587,15.0,22.0,119.935,0.731,24.1,119.935,21.6,09:40:35.397
77,111.0,17.0,0.237,2.681,3.0,4.229,15.2,24.1,119.551,0.654,22.7,119.551,23.0,09:40:36.506
78,111.0,17.0,0.316,3.436,3.0,3.549,14.5,22.0,120.325,0.676,24.1,120.325,21.6,09:40:37.614
79,111.0,17.3,0.322,4.342,3.0,3.323,14.5,22.0,120.113,0.679,24.1,120.113,21.6,09:40:38.723
80,111.0,17.5,0.278,3.7,3.0,3.285,15.7,24.1,119.968,0.641,22.7,119.968,21.6,09:40:39.831
81,111.0,17.0,0.281,2.492,3.0,3.549,14.8,22.0,119.777,0.697,24.1,119.777,21.6,09:40:40.939
82,111.0,17.5,0.358,3.323,3.0,3.436,15.4,22.0,119.851,0.691,22.7,119.851,21.6,09:40:42.046
83,111.0,17.5,0.316,3.134,3.0,3.776,15.2,22.0,119.75,0.619,22.7,119.75,21.6,09:40:43.153
84,111.0,17.3,0.298,3.21,3.0,3.512,15.7,22.0,120.113,0.669,22.7,120.113,21.6,09:40:44.260
85,111.0,17.0,0.24,3.096,3.0,2.908,15.4,24.1,119.961,0.684,22.7,119.961,23.0,09:40:45.367
86,111.0,17.3,0.256,2.832,3.0,3.059,15.0,22.1,119.964,0.62,24.2,119.964,21.6,09:40:46.478
87,111.0,16.6,0.28,3.852,3.0,3.247,14.8,22.1,120.119,0.667,22.7,120.119,21.6,09:40:47.583
88,111.0,17.0,0.259,3.247,3.0,3.776,15.9,24.1,120.169,0.664,22.8,120.169,21.6,09:40:48.688
89,111.0,17.0,0.256,4.191,3.0,3.587,15.4,22.1,120.086,0.669,22.8,120.086,21.6,09:40:49.791
90,111.0,17.0,0.314,3.587,3.0,3.096,15.0,22.1,119.496,0.664,22.8,119.496,23.0,09:40:50.897
91,111.0,17.5,0.254,2.794,3.0,3.323,15.0,22.1,120.139,0.669,24.2,120.139,21.6,09:40:52.001
92,111.0,17.5,0.264,3.474,3.0,3.512,15.4,22.1,120.071,0.629,22.8,120.071,23.0,09:40:53.106
93,111.0,17.0,0.327,3.7,3.0,3.474,15.7,24.2,120.064,0.66,24.2,120.064,21.6,09:40:54.213
94,111.0,17.3,0.294,3.021,3.0,3.323,15.7,22.1,120.044,0.669,22.8,120.044,21.6,09:40:55.323
95,111.0,17.3,0.338,3.285,3.0,3.436,15.4,22.1,120.307,0.619,22.8,120.307,23.0,09:40:56.433
96,111.0,17.0,0.303,2.945,3.0,3.852,15.4,24.2,119.678,0.678,22.8,119.678,21.6,09:40:57.555
97,111.0,17.5,0.204,3.172,3.0,4.569,15.4,22.1,118.872,0.64,24.2,118.872,21.6,09:40:58.673
98,111.0,17.0,0.295,3.059,3.0,3.474,15.9,22.1,119.794,0.64,22.8,119.794,23.0,09:40:59.779
99,111.0,17.5,0.266,2.87,3.0,2.983,15.0,24.2,119.779,0.745,22.8,119.779,21.6,09:41:00.888
100,111.0,17.5,0.294,3.512,3.0,3.021,15.4,22.1,119.931,0.648,22.8,119.931,21.6,09:41:01.992
101,111.0,17.5,0.261,3.361,3.0,3.852,15.4,22.2,120.016,0.663,22.8,120.016,23.0,09:41:03.115
102,111.0,17.5,0.343,3.096,3.0,2.983,14.8,24.2,119.653,0.707,24.2,119.653,21.6,09:41:04.223
103,111.0,17.0,0.266,4.154,3.0,2.417,15.2,24.2,120.271,0.621,24.2,120.271,21.6,09:41:05.346
104,111.0,17.0,0.265,2.794,3.0,4.003,15.2,22.2,119.579,0.658,22.8,119.579,23.0,09:41:06.455
105,111.0,17.7,0.232,2.983,3.0,3.549,14.8,22.2,119.582,0.71,22.8,119.582,23.1,09:41:07.570
106,111.0,17.3,0.283,3.436,3.0,3.436,15.2,22.2,119.981,0.687,22.8,119.981,21.6,09:41:08.673
107,111.0,17.3,0.308,3.474,3.0,2.945,15.9,22.2,120.394,0.687,22.8,120.394,23.1,09:41:09.781
108,111.0,17.5,0.259,3.663,3.0,2.794,15.4,22.2,119.781,0.734,22.8,119.781,21.6,09:41:10.899
109,111.0,17.3,0.251,2.681,3.0,3.663,15.9,22.2,119.273,0.64,22.8,119.273,21.6,09:41:12.004
110,111.0,17.7,0.25,3.965,3.0,4.003,15.4,22.2,120.253,0.667,22.8,120.253,21.6,09:41:13.107
111,111.0,17.0,0.273,2.115,3.0,3.663,15.9,24.3,119.506,0.721,24.3,119.506,21.6,09:41:14.210
112,111.0,17.5,0.278,3.21,3.0,2.983,15.0,22.2,120.368,0.668,22.8,120.368,23.1,09:41:15.316
113,111.0,17.3,0.265,3.247,3.0,3.096,16.1,24.3,119.49,0.682,24.3,119.49,21.6,09:41:16.423
114,111.0,17.7,0.245,2.945,3.0,3.21,15.9,22.2,119.901,0.678,22.8,119.901,21.6,09:41:17.527
115,111.0,17.3,0.313,3.134,3.0,3.7,15.4,22.2,119.907,0.629,22.9,119.907,21.6,09:41:18.634
116,111.0,17.7,0.281,2.945,3.0,3.134,15.0,22.3,120.021,0.701,24.3,120.021,21.6,09:41:19.757
117,111.0,17.5,0.236,3.323,3.0,3.021,15.4,22.3,120.297,0.663,22.9,120.297,21.6,09:41:20.864
118,111.0,17.5,0.219,3.096,3.0,3.323,15.7,22.3,119.964,0.659,24.3,119.964,21.6,09:41:21.963
119,111.0,17.3,0.266,4.984,3.0,3.361,16.1,24.3,119.985,0.707,22.9,119.985,21.6,09:41:23.069
120,111.0,17.5,0.27,5.664,3.0,3.285,15.4,22.3,119.996,0.654,22.9,119.996,21.6,09:41:24.174
121,111.0,17.9,0.25,3.587,3.0,3.134,15.4,22.3,119.958,0.691,24.3,119.958,21.6,09:41:25.286
122,111.0,17.7,0.26,4.116,3.0,2.756,16.1,24.4,119.853,0.693,24.3,119.853,21.6,09:41:26.411
123,111.0,17.7,0.281,4.947,3.0,3.625,15.0,24.4,119.982,0.674,22.9,119.982,21.6,09:41:27.551
124,111.0,17.7,0.309,4.38,3.0,3.323,15.0,22.3,119.459,0.651,22.9,119.459,23.1,09:41:28.657
125,111.0,17.5,0.264,3.096,3.0,2.454,15.7,22.3,119.596,0.717,24.3,119.596,21.6,09:41:29.766
126,111.0,17.9,0.276,3.021,3.0,2.832,14.8,24.4,119.977,0.684,22.9,119.977,21.6,09:41:30.871
127,111.0,17.3,0.217,2.643,3.0,3.323,15.4,22.3,122.365,0.645,22.9,122.365,23.1,09:41:31.998
128,111.0,17.7,0.25,3.361,3.0,3.587,15.0,22.4,120.149,0.693,22.9,120.149,21.6,09:41:33.117
129,111.0,17.5,0.298,3.134,3.0,3.172,15.2,24.4,120.019,0.63,22.9,120.019,21.6,09:41:34.222
130,111.0,17.5,0.276,2.983,3.0,3.323,15.4,22.4,120.275,0.693,22.9,120.275,23.1,09:41:35.333
131,111.0,17.3,0.261,2.756,3.0,3.738,15.2,22.4,120.221,0.73,24.4,120.221,21.7,09:41:36.437
132,111.0,17.5,0.293,3.587,3.0,2.983,16.3,24.5,120.583,0.646,22.9,120.583,21.6,09:41:37.540
133,111.0,17.3,0.27,3.663,3.0,2.945,15.4,22.4,120.736,0.651,22.9,120.736,21.7,09:41:38.648
134,111.0,17.7,0.294,2.983,3.0,3.398,15.4,24.5,120.14,0.66,22.9,120.14,21.7,09:41:39.755
135,111.0,17.9,0.278,2.945,3.0,2.794,15.9,24.5,119.875,0.66,22.9,119.875,21.7,09:41:40.876
136,111.0,17.7,0.276,2.945,3.0,2.681,15.2,22.4,119.806,0.693,22.9,119.806,21.7,09:41:41.984
137,111.0,18.2,0.271,3.587,3.0,3.21,16.1,22.4,120.109,0.679,24.4,120.109,21.7,09:41:43.086
138,111.0,17.5,0.255,3.096,3.0,3.965,15.4,24.5,119.627,0.592,23.0,119.627,21.7,09:41:44.224
139,111.0,17.7,0.28,3.096,3.0,3.549,16.1,22.4,119.841,0.679,23.0,119.841,23.1,09:41:45.330
140,111.0,17.5,0.27,2.794,3.0,3.285,15.7,22.4,120.029,0.702,24.4,120.029,21.7,09:41:46.445
141,111.0,17.7,0.261,3.587,3.0,3.361,15.9,24.5,119.794,0.676,23.0,119.794,21.7,09:41:47.552
142,111.0,18.4,0.236,3.361,3.0,3.172,16.1,22.5,119.861,0.686,23.0,119.861,21.7,09:41:48.661
143,111.0,17.7,0.275,2.832,3.0,2.908,16.1,22.5,119.895,0.667,24.4,119.895,21.7,09:41:49.765
144,111.0,18.2,0.271,3.134,3.0,3.247,15.9,24.6,119.832,0.673,23.0,119.832,23.1,09:41:50.868
145,111.0,17.7,0.237,2.945,3.0,3.021,16.1,22.5,120.283,0.693,23.0,120.283,21.7,09:41:51.990
146,111.0,17.7,0.266,3.7,3.0,3.172,16.1,22.5,120.675,0.645,24.4,120.675,21.7,09:41:53.096
147,111.0,17.9,0.261,3.21,3.0,3.625,15.4,22.5,120.351,0.668,23.0,120.351,21.7,09:41:54.193
148,111.0,18.2,0.284,4.72,3.0,2.945,15.9,22.5,120.287,0.712,24.4,120.287,21.7,09:41:55.300
149,111.0,18.2,0.261,3.285,3.0,2.643,15.0,24.6,119.71,0.673,23.0,119.71,21.7,09:41:56.407
150,111.0,18.2,0.259,2.605,3.0,3.172,15.7,22.5,120.072,0.676,23.0,120.072,21.7,09:41:57.514
151,111.0,17.5,0.289,3.285,3.0,4.191,16.1,22.5,119.776,0.648,23.0,119.776,21.7,09:41:58.618
152,111.0,18.2,0.281,2.983,3.0,3.361,15.7,22.5,119.954,0.656,23.0,119.954,21.7,09:41:59.759
153,111.0,18.4,0.264,3.927,3.0,2.832,16.3,22.5,120.069,0.706,23.0,120.069,21.7,09:42:00.865
154,111.0,18.4,0.283,2.794,3.0,2.908,15.9,22.6,119.998,0.697,24.5,119.998,21.7,09:42:01.973
155,111.0,18.2,0.243,2.832,3.0,3.285,16.1,22.6,119.265,0.668,23.0,119.265,21.7,09:42:03.088
156,111.0,18.4,0.27,2.643,3.0,4.305,15.2,24.6,118.628,0.684,23.0,118.628,21.7,09:42:04.204
157,111.0,17.9,0.3,4.493,3.0,2.417,15.9,24.7,120.332,0.772,23.0,120.332,23.1,09:42:05.344
158,111.0,17.7,0.319,2.794,3.0,2.908,15.9,22.6,119.914,0.635,24.5,119.914,21.7,09:42:06.457
159,111.0,18.2,0.28,3.247,3.0,3.549,16.3,22.6,119.646,0.671,23.0,119.646,21.7,09:42:07.562
160,111.0,18.2,0.261,3.927,3.0,3.738,16.1,24.7,120.028,0.719,23.0,120.028,23.1,09:42:08.684
161,111.0,18.4,0.28,3.776,3.0,3.247,15.9,22.6,120.213,0.648,24.5,120.213,21.7,09:42:09.787
162,111.0,18.4,0.308,3.323,3.0,2.568,15.7,24.7,119.496,0.656,23.1,119.496,23.1,09:42:10.895
163,111.0,18.4,0.266,2.908,3.0,3.889,15.9,22.6,119.423,0.736,23.1,119.423,21.7,09:42:12.000
164,111.0,17.5,0.27,3.965,3.0,3.21,15.9,22.6,120.111,0.608,24.5,120.111,21.7,09:42:13.122
165,111.0,18.2,0.25,3.436,3.0,2.228,16.3,22.6,120.123,0.715,23.1,120.123,23.1,09:42:14.231
166,111.0,18.2,0.247,3.059,3.0,2.379,15.9,24.7,120.197,0.674,23.1,120.197,21.7,09:42:15.336
167,111.0,17.7,0.275,2.832,3.0,3.965,15.4,22.6,119.25,0.656,23.1,119.25,21.7,09:42:16.440
168,111.0,17.9,0.27,3.625,3.0,3.285,15.4,24.7,119.915,0.684,23.1,119.915,23.1,09:42:17.548
169,111.0,18.2,0.295,3.436,3.0,3.436,16.3,22.6,119.783,0.663,24.5,119.783,21.7,09:42:18.656
170,111.0,17.9,0.275,3.021,3.0,2.945,16.3,22.7,120.456,0.659,23.1,120.456,21.7,09:42:19.779
171,111.0,18.2,0.275,3.172,3.0,2.945,16.8,24.7,119.89,0.706,23.1,119.89,21.7,09:42:20.876
172,111.0,18.2,0.275,3.549,3.0,3.134,16.1,22.7,120.345,0.636,24.5,120.345,21.7,09:42:21.985
173,111.0,18.2,0.242,3.096,3.0,2.983,16.8,22.7,119.974,0.612,23.1,119.974,23.1,09:42:23.093
174,111.0,17.9,0.347,3.738,3.0,3.096,15.7,24.8,119.974,0.673,23.1,119.974,21.7,09:42:24.215
175,111.0,18.2,0.284,3.059,3.0,3.587,16.3,22.7,119.965,0.624,24.5,119.965,21.7,09:42:25.321
176,111.0,18.2,0.228,2.719,3.0,3.398,16.3,22.7,119.805,0.658,23.1,119.805,21.7,09:42:26.445
177,111.0,18.2,0.275,3.21,3.0,3.587,16.3,22.7,119.804,0.706,23.1,119.804,23.1,09:42:27.563
178,111.0,17.9,0.227,3.247,3.0,3.285,15.7,24.8,120.669,0.669,23.1,120.669,21.7,09:42:28.690
179,111.0,18.2,0.283,3.172,3.0,3.172,15.9,22.7,119.989,0.682,24.5,119.989,21.7,09:42:29.813
180,111.0,18.2,0.264,3.021,3.0,4.644,15.9,22.7,119.437,0.66,24.6,119.437,21.7,09:42:30.936
181,111.0,18.2,0.261,3.549,3.0,2.983,15.9,22.7,120.564,0.674,23.1,120.564,23.2,09:42:32.042
182,111.0,18.2,0.26,3.625,3.0,3.172,16.6,24.8,119.891,0.697,24.5,119.891,21.7,09:42:33.148
183,111.0,17.7,0.289,3.474,3.0,2.643,15.9,22.7,120.142,0.674,23.1,120.142,21.7,09:42:34.273
184,111.0,18.4,0.271,3.776,3.0,2.794,15.7,22.8,119.8,0.625,23.1,119.8,21.7,09:42:35.397
185,111.0,18.2,0.333,2.53,3.0,2.756,15.4,22.8,119.96,0.703,23.2,119.96,23.2,09:42:36.521
186,111.0,18.2,0.24,2.492,3.0,4.003,15.9,24.8,120.309,0.681,24.6,120.309,21.7,09:42:37.631
187,111.0,17.9,0.255,4.569,3.0,3.361,16.3,22.8,120.224,0.616,23.1,120.224,21.7,09:42:38.737
188,111.0,17.9,0.27,4.682,3.0,2.53,16.8,22.8,120.051,0.646,23.2,120.051,21.7,09:42:39.850
189,111.0,18.4,0.27,2.794,3.0,2.794,15.9,24.9,120.008,0.687,24.6,120.008,21.7,09:42:40.959
190,111.0,18.2,0.273,3.134,3.0,3.852,15.9,22.8,119.468,0.645,23.2,119.468,21.7,09:42:42.079
191,111.0,18.2,0.26,2.53,3.0,3.21,16.6,22.8,120.202,0.692,23.2,120.202,23.2,09:42:43.197
192,111.0,18.4,0.269,3.512,3.0,3.625,17.0,24.9,119.178,0.687,24.6,119.178,21.7,09:42:44.301
193,111.0,18.6,0.281,3.285,3.0,3.549,16.3,22.8,119.401,0.649,23.2,119.401,23.2,09:42:45.403
194,111.0,18.6,0.264,2.681,3.0,2.303,15.9,22.8,120.975,0.64,23.2,120.975,21.7,09:42:46.509
195,111.0,18.2,0.266,2.945,3.0,3.549,16.8,22.8,119.961,0.648,23.2,119.961,21.7,09:42:47.613
196,111.0,18.6,0.221,3.172,3.0,3.323,16.3,22.9,120.176,0.624,23.2,120.176,23.2,09:42:48.722
197,111.0,17.9,0.259,3.549,3.0,2.908,16.1,22.9,119.99,0.686,23.2,119.99,21.7,09:42:49.862
198,111.0,18.4,0.266,2.643,3.0,3.21,16.8,22.9,120.612,0.669,23.2,120.612,21.7,09:42:50.998
199,111.0,18.6,0.231,3.21,3.0,3.361,16.3,22.9,119.97,0.682,23.2,119.97,21.7,09:42:52.133
200,111.0,18.2,0.299,2.87,3.0,4.418,15.9,22.9,121.377,0.686,24.6,121.377,21.7,09:42:53.257
201,111.0,17.9,0.284,2.908,3.0,2.832,16.1,24.9,119.872,0.626,24.6,119.872,21.7,09:42:54.378
