Log,cp_pressure,cp_temperature_fresh,cp_flowrate,mixer_temperature_Funnel_outlet,mixer_torque_M2,ac_flowrate,mixer_pressure,cp_temperature,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
112,0.515,22.0,3.0,21.8,4.796,0.0,0.278,21.2,18.8,17.0,5.966,99.955,99.955,10:16:13.449
113,0.529,22.0,3.0,21.8,4.871,0.0,0.269,21.2,18.8,17.3,5.588,98.772,98.772,10:16:14.553
114,0.544,23.4,3.0,21.8,6.306,0.0,0.281,21.2,18.8,17.3,4.154,99.737,99.737,10:16:15.660
115,0.502,22.0,3.0,23.8,6.004,0.0,0.27,22.7,19.1,17.0,5.362,99.722,99.857,10:16:16.759
116,0.505,23.4,3.0,21.8,5.362,0.0,0.256,21.2,18.8,17.3,5.551,98.776,98.776,10:16:17.867
117,0.521,22.0,3.0,21.8,6.835,0.0,0.255,21.2,18.6,17.9,4.003,99.406,99.406,10:16:18.973
118,0.544,22.0,3.0,21.8,4.38,0.0,0.25,21.2,19.1,16.8,4.682,100.303,100.303,10:16:20.078
119,0.538,23.4,3.0,21.8,6.835,0.0,0.313,21.3,18.8,17.0,5.022,120.566,120.566,10:16:21.191
120,0.541,22.0,3.0,23.8,6.117,0.0,0.259,22.7,18.6,17.5,6.193,118.969,118.969,10:16:22.290
121,0.525,23.4,3.0,21.8,5.74,0.0,0.26,21.3,18.6,17.3,5.098,120.008,120.008,10:16:23.390
122,0.503,22.0,3.0,21.8,5.777,0.0,0.281,22.7,18.8,17.5,4.531,119.954,119.954,10:16:24.493
123,0.52,22.0,3.0,21.8,4.569,0.0,0.27,22.7,18.8,16.8,4.833,120.575,120.575,10:16:25.629
124,0.559,22.0,3.0,21.8,6.759,0.0,0.271,21.3,18.8,17.0,3.7,120.622,120.622,10:16:26.746
125,0.543,22.0,3.0,23.8,5.211,0.0,0.264,21.3,19.3,16.6,5.022,120.498,120.498,10:16:27.872
126,0.503,22.0,3.0,21.7,5.966,0.0,0.273,21.3,19.1,17.3,4.644,120.133,120.133,10:16:28.981
127,0.51,22.0,3.0,23.8,5.211,0.0,0.276,21.3,19.1,17.0,5.928,120.067,120.067,10:16:30.084
128,0.536,23.4,3.0,21.8,5.853,0.0,0.265,21.3,18.6,17.0,4.078,120.184,120.184,10:16:31.198
129,0.501,22.0,3.0,21.8,6.721,0.0,0.25,22.7,19.1,16.8,5.853,119.066,119.066,10:16:32.306
130,0.541,23.5,3.0,23.8,5.513,0.0,0.266,21.3,19.3,17.3,5.853,120.008,120.008,10:16:33.413
131,0.555,22.0,3.0,21.8,6.23,0.0,0.278,21.3,19.1,17.5,4.984,119.418,119.418,10:16:34.531
132,0.51,22.0,3.0,21.8,4.796,0.0,0.255,22.7,18.6,17.5,6.872,119.708,119.708,10:16:35.640
133,0.529,22.0,3.0,23.8,6.004,0.0,0.264,21.3,19.1,16.8,4.003,119.859,119.859,10:16:36.751
134,0.492,22.0,3.0,21.8,5.815,0.0,0.266,21.3,19.1,17.0,4.947,120.984,120.984,10:16:37.858
135,0.52,22.0,3.0,23.8,6.193,0.0,0.273,21.3,19.1,17.5,4.191,120.196,120.196,10:16:38.964
136,0.52,23.5,3.0,21.8,5.362,0.0,0.27,21.3,19.1,17.9,6.306,119.453,119.453,10:16:40.071
137,0.559,22.0,3.0,21.8,5.286,0.0,0.289,22.7,19.1,17.5,4.947,99.204,99.204,10:16:41.165
138,0.515,23.5,3.0,21.8,5.022,0.0,0.273,21.3,19.1,17.7,4.229,99.75,99.75,10:16:42.266
139,0.508,22.0,3.0,21.8,5.022,0.0,0.271,22.7,19.1,17.0,4.04,99.687,99.687,10:16:43.371
140,0.52,23.5,3.0,23.8,5.475,0.0,0.264,21.3,18.8,17.5,5.551,98.972,98.972,10:16:44.473
141,0.482,22.0,3.0,21.8,5.475,0.0,0.264,21.3,19.3,17.5,4.418,99.741,99.741,10:16:45.579
142,0.541,22.0,3.0,21.8,4.003,0.0,0.273,21.3,19.1,17.7,4.682,99.829,99.829,10:16:46.698
143,0.548,23.5,3.0,23.8,5.022,0.0,0.276,21.3,19.8,17.7,5.286,98.961,98.961,10:16:47.800
144,0.541,22.0,3.0,21.8,5.853,0.0,0.256,22.7,19.5,17.5,4.342,99.551,99.551,10:16:48.905
145,0.515,22.0,3.0,23.8,4.644,0.0,0.261,21.3,19.5,17.5,4.456,99.229,99.229,10:16:50.013
146,0.513,22.0,3.0,21.8,5.211,0.0,0.273,21.3,19.3,17.9,5.815,97.928,97.928,10:16:51.122
147,0.526,22.0,3.0,21.8,6.381,0.0,0.276,21.3,19.1,17.0,4.305,99.48,99.48,10:16:52.226
148,0.546,22.0,3.0,23.8,4.116,0.0,0.264,21.3,19.3,17.5,4.682,100.14,100.14,10:16:53.328
149,0.518,22.0,3.0,21.8,4.569,0.0,0.271,22.7,19.3,17.5,6.381,98.287,98.287,10:16:54.432
150,0.521,22.1,3.0,21.8,4.72,0.0,0.27,22.7,19.3,17.5,4.078,99.662,99.662,10:16:55.566
151,0.525,23.5,3.0,23.8,5.022,0.0,0.275,21.3,19.5,17.9,4.644,99.501,99.501,10:16:56.671
152,0.531,22.1,3.0,21.8,5.362,0.0,0.259,22.7,19.3,17.5,4.607,100.886,100.886,10:16:57.780
153,0.543,22.0,3.0,21.8,5.06,0.0,0.278,22.7,19.5,17.9,4.342,99.054,99.054,10:16:58.903
154,0.53,23.5,3.0,23.8,5.098,0.0,0.309,21.3,19.1,17.0,4.569,99.882,99.882,10:17:00.015
155,0.536,22.1,3.0,21.8,4.38,0.0,0.299,21.3,19.1,17.5,3.398,80.18,80.18,10:17:01.122
156,0.507,22.1,3.0,21.7,4.984,0.0,0.248,21.3,19.5,17.7,3.172,80.145,80.145,10:17:02.227
157,0.535,23.5,3.0,21.8,5.475,0.0,0.265,21.3,19.1,17.5,3.7,80.252,80.252,10:17:03.348
158,0.529,22.1,3.0,21.7,4.456,0.0,0.259,22.7,19.5,17.9,3.096,80.084,80.084,10:17:04.455
159,0.549,22.1,3.0,21.8,4.305,0.0,0.286,22.8,19.1,17.9,3.7,80.244,80.244,10:17:05.597
160,0.548,22.1,3.0,21.8,5.211,0.0,0.26,22.8,19.8,17.5,4.191,79.829,79.829,10:17:06.706
161,0.508,23.5,3.0,21.8,5.249,0.0,0.271,21.3,19.5,17.9,3.663,80.276,80.276,10:17:07.824
162,0.52,22.1,3.0,23.8,4.947,0.0,0.25,21.3,19.5,17.5,3.059,80.168,80.168,10:17:08.929
163,0.531,22.1,3.0,21.8,4.607,0.0,0.269,21.3,19.5,17.5,4.229,80.571,80.571,10:17:10.032
164,0.505,22.1,3.0,23.8,4.984,0.0,0.28,21.3,19.5,17.9,3.398,80.144,80.144,10:17:11.139
165,0.53,22.1,3.0,23.8,4.607,0.0,0.264,21.3,19.3,17.3,3.361,80.264,80.264,10:17:12.282
166,0.54,22.1,3.0,21.8,4.229,0.0,0.264,22.8,19.5,17.7,3.927,79.924,79.924,10:17:13.400
167,0.491,22.1,3.0,21.8,4.116,0.0,0.295,22.8,19.5,17.3,3.474,80.506,80.506,10:17:14.522
168,0.498,23.5,3.0,21.8,5.06,0.0,0.25,21.4,19.5,17.7,4.003,80.103,80.103,10:17:15.642
169,0.54,22.1,3.0,23.8,4.569,0.0,0.269,21.3,19.1,17.7,3.927,80.307,80.307,10:17:16.759
170,0.553,22.1,3.0,23.8,4.947,0.0,0.236,21.4,19.5,17.7,3.7,79.959,79.959,10:17:17.894
171,0.536,22.1,3.0,21.8,4.984,0.0,0.284,21.4,19.3,17.9,3.738,80.432,80.432,10:17:18.997
172,0.524,23.5,3.0,21.8,6.193,0.0,0.254,21.4,19.5,17.5,3.587,80.039,80.039,10:17:20.115
173,0.524,22.1,3.0,23.8,4.154,0.0,0.269,21.4,19.8,17.5,3.361,60.024,60.024,10:17:21.237
174,0.524,22.1,3.0,23.8,3.814,0.0,0.283,22.8,19.5,17.5,3.549,59.756,59.756,10:17:22.358
175,0.53,22.1,3.0,21.8,4.607,0.0,0.243,21.3,19.5,17.5,2.87,60.027,60.027,10:17:23.475
176,0.582,23.5,3.0,21.8,4.078,0.0,0.265,21.4,19.8,17.9,3.852,59.954,59.954,10:17:24.604
177,0.535,22.1,3.0,23.8,3.587,0.0,0.24,21.4,19.5,17.5,3.285,60.502,60.502,10:17:25.714
178,0.516,22.1,3.0,23.8,4.04,0.0,0.294,21.4,19.5,17.5,3.247,59.967,59.967,10:17:26.853
179,0.513,22.1,3.0,21.8,4.078,0.0,0.27,21.4,19.3,17.9,3.285,59.906,59.906,10:17:27.957
180,0.516,22.1,3.0,21.8,4.796,0.0,0.283,21.4,19.5,17.9,3.247,59.886,59.886,10:17:29.095
181,0.531,23.6,3.0,21.8,4.154,0.0,0.275,21.4,19.5,17.9,4.154,59.848,59.848,10:17:30.217
182,0.518,23.6,3.0,21.8,4.191,0.0,0.251,21.4,19.1,17.7,3.549,60.046,60.046,10:17:31.351
183,0.56,22.1,3.0,23.8,4.607,0.0,0.28,22.8,20.0,17.7,2.908,59.885,59.885,10:17:32.452
184,0.535,22.1,3.0,21.8,4.116,0.0,0.275,21.4,19.3,17.7,3.927,59.811,59.811,10:17:33.555
185,0.511,23.6,3.0,21.8,3.474,0.0,0.255,21.4,19.5,17.9,4.72,59.756,59.756,10:17:34.690
186,0.553,22.1,3.0,23.8,2.983,0.0,0.248,22.8,19.3,17.7,3.927,59.203,59.203,10:17:35.797
187,0.526,22.1,3.0,21.8,5.513,0.0,0.276,21.4,19.5,17.5,3.247,59.976,59.976,10:17:36.904
188,0.525,22.1,3.0,21.8,4.04,0.0,0.261,21.4,19.3,17.0,3.512,60.205,60.205,10:17:38.006
189,0.529,22.1,3.0,21.8,3.776,0.0,0.27,21.4,20.2,17.7,4.493,60.223,60.223,10:17:39.150
190,0.544,22.1,3.0,23.8,4.154,0.0,0.256,21.4,19.5,17.9,4.229,60.401,60.401,10:17:40.250
191,0.536,22.1,3.0,21.8,3.436,0.0,0.269,21.4,19.8,17.9,2.719,39.773,39.773,10:17:41.358
192,0.508,22.1,3.0,21.8,3.134,0.0,0.294,21.4,19.5,17.9,2.681,40.196,40.196,10:17:42.483
193,0.541,22.1,3.0,21.8,3.247,0.0,0.284,21.4,19.5,17.9,2.19,39.616,39.616,10:17:43.617
194,0.548,22.1,3.0,21.8,3.059,0.0,0.289,22.8,19.3,17.7,3.361,39.477,39.477,10:17:44.752
195,0.533,23.6,3.0,21.8,3.587,0.0,0.295,21.4,19.5,18.2,2.908,39.451,39.451,10:17:45.857
196,0.551,22.1,3.0,21.8,3.021,0.0,0.276,21.4,19.3,17.5,3.663,39.632,39.632,10:17:46.969
197,0.546,22.1,3.0,23.8,3.436,0.0,0.269,22.8,19.8,17.9,3.096,39.575,39.575,10:17:48.069
198,0.516,23.6,3.0,21.8,3.512,0.0,0.269,21.4,19.5,17.5,2.794,39.798,39.798,10:17:49.187
199,0.538,22.1,3.0,21.8,3.663,0.0,0.27,21.4,19.5,17.9,2.53,39.491,39.491,10:17:50.311
200,0.535,22.1,3.0,21.8,3.398,0.0,0.284,21.4,19.5,17.9,2.756,39.435,39.435,10:17:51.445
201,0.533,22.2,3.0,23.8,3.474,0.0,0.276,21.4,20.0,17.7,3.096,39.477,39.477,10:17:52.546
202,0.503,22.1,3.0,23.8,4.078,0.0,0.271,21.4,19.5,17.9,4.569,38.58,38.58,10:17:53.667
203,0.546,22.2,3.0,21.8,3.398,0.0,0.265,21.4,19.3,17.5,2.643,39.345,39.345,10:17:54.788
204,0.531,22.2,3.0,21.8,3.134,0.0,0.271,22.8,19.3,18.2,3.776,40.4,40.4,10:17:55.891
205,0.56,22.2,3.0,23.8,3.625,0.0,0.294,21.4,19.5,17.7,2.568,39.613,39.613,10:17:57.024
206,0.544,23.6,3.0,23.8,3.852,0.0,0.264,21.4,19.1,17.7,3.247,40.076,40.076,10:17:58.145
207,0.52,22.2,3.0,21.8,4.493,0.0,0.261,21.4,19.5,17.7,3.21,39.317,39.317,10:17:59.266
208,0.54,22.2,3.0,21.8,3.7,0.0,0.265,22.8,19.5,17.9,2.794,39.329,39.329,10:18:00.384
209,0.529,22.2,3.0,21.8,2.303,0.0,0.289,21.4,19.5,18.2,1.812,20.454,20.454,10:18:01.507
210,0.53,22.2,3.0,23.8,3.134,0.0,0.243,21.4,19.1,17.5,2.19,20.366,20.366,10:18:02.629
211,0.53,22.2,3.0,21.8,1.812,0.0,0.264,21.4,20.2,17.9,2.53,20.665,20.665,10:18:03.740
212,0.536,22.2,3.0,21.8,2.417,0.0,0.28,22.8,19.1,17.9,2.719,19.903,19.903,10:18:04.859
213,0.525,22.2,3.0,21.8,2.341,0.0,0.276,22.8,19.5,17.3,2.341,20.272,20.272,10:18:05.991
214,0.571,23.6,3.0,23.8,4.191,0.0,0.259,21.4,19.8,17.9,2.228,20.231,20.231,10:18:07.096
215,0.529,22.2,3.0,21.8,2.605,0.0,0.261,21.4,19.8,17.7,3.398,20.375,20.375,10:18:08.219
216,0.53,22.2,3.0,21.8,1.964,0.0,0.261,22.8,19.8,17.9,2.832,20.619,20.619,10:18:09.335
217,0.525,22.2,3.0,21.8,3.474,0.0,0.273,21.4,19.5,17.7,2.077,20.435,20.435,10:18:10.459
218,0.564,23.6,3.0,23.8,3.398,0.0,0.264,21.4,19.8,18.2,2.001,20.447,20.447,10:18:11.576
219,0.531,23.6,3.0,23.8,2.719,0.0,0.271,21.4,19.1,17.5,2.115,20.347,20.347,10:18:12.715
220,0.526,23.6,3.0,23.8,2.19,0.0,0.266,21.4,19.3,17.7,2.417,20.242,20.242,10:18:13.834
221,0.481,22.2,3.0,21.8,2.417,0.0,0.308,21.4,19.3,17.7,2.719,20.468,20.468,10:18:14.969
222,0.554,22.2,3.0,21.8,2.681,0.0,0.283,21.4,20.0,17.9,1.888,20.441,20.441,10:18:16.070
223,0.535,22.2,3.0,21.8,3.512,0.0,0.326,21.4,19.8,17.5,2.832,20.425,20.425,10:18:17.209
224,0.538,23.7,3.0,23.8,2.152,0.0,0.259,21.4,19.3,17.9,2.719,20.386,20.386,10:18:18.330
225,0.53,22.2,3.0,21.8,2.568,0.0,0.291,22.9,19.3,17.7,2.605,20.61,20.61,10:18:19.445
