normalized_point,LORA_current_uA,LORA_max_voltage,LORA_min_voltage,BLE_current_uA,BLE_max_voltage,BLE_min_voltage,TX_current_uA,TX_max_voltage,TX_min_voltage,VDD_CAP_current_uA,VDD_CAP_max_voltage,VDD_CAP_min_voltage
1,-200,-0.804566341,-0.815251659,-200,-0.809056555,-0.817583445,-200,-0.268528051,-0.289769949,-200,-0.5783846,-0.5900234
2,-195,-0.803741418,-0.814440582,-195,-0.808301817,-0.816796183,-195,-0.267275164,-0.288433836,-195,-0.577784699,-0.589196301
3,-190,-0.802931853,-0.813639147,-190,-0.807496882,-0.816034118,-190,-0.266074278,-0.287137722,-190,-0.577312504,-0.588403496
4,-185,-0.80208153,-0.81283547,-185,-0.806708647,-0.815248353,-185,-0.264776551,-0.285939449,-185,-0.576809396,-0.587662604
5,-180,-0.80125091,-0.81201809,-180,-0.805891853,-0.814446147,-180,-0.263486324,-0.284643676,-180,-0.5762227,-0.5869433
6,-175,-0.800361368,-0.811139632,-175,-0.805049419,-0.813648581,-175,-0.262194405,-0.283331595,-175,-0.575493332,-0.586189668
7,-170,-0.79941361,-0.81026339,-170,-0.804162403,-0.812840597,-170,-0.260861672,-0.281932328,-170,-0.574697602,-0.585403398
8,-165,-0.798564598,-0.809232402,-165,-0.803320517,-0.811946483,-165,-0.259445861,-0.280678139,-165,-0.57384078,-0.58454422
9,-160,-0.797534195,-0.808396805,-160,-0.802386723,-0.811122277,-160,-0.258035611,-0.279223389,-160,-0.572905238,-0.583611762
10,-155,-0.796627186,-0.807390814,-155,-0.801502944,-0.810169056,-155,-0.256591107,-0.277765893,-155,-0.571846949,-0.582634051
11,-150,-0.795586822,-0.806406178,-150,-0.800519833,-0.809292167,-150,-0.255078618,-0.276288382,-150,-0.570793944,-0.581602056
12,-145,-0.794541798,-0.805369202,-145,-0.799569197,-0.808294803,-145,-0.253502387,-0.274780613,-145,-0.569623364,-0.580506636
13,-140,-0.793352295,-0.804302705,-140,-0.798552602,-0.807294398,-140,-0.251958848,-0.273270152,-140,-0.568491697,-0.579335303
14,-135,-0.792281498,-0.803228502,-135,-0.797508083,-0.806283917,-135,-0.250379784,-0.271669216,-135,-0.567248103,-0.578108897
15,-130,-0.791198088,-0.802099912,-130,-0.796429672,-0.805203328,-130,-0.248709526,-0.270050474,-130,-0.565985867,-0.576848133
16,-125,-0.790032464,-0.800740536,-125,-0.795298997,-0.804111003,-125,-0.247051964,-0.268288036,-125,-0.564622436,-0.575520564
17,-120,-0.788754289,-0.799691711,-120,-0.794134975,-0.802959025,-120,-0.245251006,-0.266565994,-120,-0.563257662,-0.574134338
18,-115,-0.787473083,-0.798411917,-115,-0.792908236,-0.801780764,-115,-0.243416973,-0.264762027,-115,-0.561798033,-0.572680967
19,-110,-0.786087911,-0.797067089,-110,-0.791500023,-0.800676977,-110,-0.241508128,-0.262891872,-110,-0.56025995,-0.57112305
20,-105,-0.784692526,-0.795689474,-105,-0.790317639,-0.799248361,-105,-0.239617945,-0.260962055,-105,-0.558686716,-0.569519284
21,-100,-0.78316401,-0.79411199,-100,-0.788926537,-0.797890463,-100,-0.237597334,-0.258938666,-100,-0.557028459,-0.567852541
22,-95,-0.781604603,-0.792634397,-95,-0.78747635,-0.79649965,-95,-0.235387451,-0.256836549,-95,-0.555294095,-0.566093905
23,-90,-0.780045986,-0.791023014,-90,-0.785956518,-0.794994482,-90,-0.233204124,-0.254697876,-90,-0.553471002,-0.564197998
24,-85,-0.778271173,-0.789350827,-85,-0.784339065,-0.793384935,-85,-0.230866824,-0.252391176,-85,-0.551536838,-0.562290162
25,-80,-0.776475168,-0.787554832,-80,-0.782622027,-0.791767973,-80,-0.228423266,-0.249996734,-80,-0.549473009,-0.560220991
26,-75,-0.774429943,-0.785638057,-75,-0.780807921,-0.789984079,-75,-0.225866799,-0.247414201,-75,-0.547297604,-0.558038396
27,-70,-0.772346501,-0.783601499,-70,-0.778880987,-0.788095013,-70,-0.223120764,-0.244799236,-70,-0.544996685,-0.555728315
28,-65,-0.770143154,-0.781429846,-65,-0.776815114,-0.786073886,-65,-0.220225055,-0.241880945,-65,-0.542497811,-0.553185189
29,-60,-0.767681318,-0.779055682,-60,-0.774586041,-0.783876959,-60,-0.217102895,-0.238820105,-60,-0.539777881,-0.550380119
30,-55,-0.765075599,-0.776471401,-55,-0.772158026,-0.781542974,-55,-0.213780314,-0.235522686,-55,-0.536796131,-0.547392869
31,-50,-0.762123604,-0.773661396,-50,-0.7695149,-0.7789551,-50,-0.210206095,-0.231936905,-50,-0.533513359,-0.544116641
32,-45,-0.759130292,-0.770516708,-45,-0.766591547,-0.776113453,-45,-0.206208379,-0.228084621,-45,-0.529866332,-0.540477668
33,-40,-0.755493105,-0.767034895,-40,-0.763368992,-0.772916008,-40,-0.201883472,-0.223804528,-40,-0.525775143,-0.536363857
34,-35,-0.751450083,-0.762698917,-35,-0.759689129,-0.769324871,-35,-0.196957872,-0.218965128,-35,-0.521176221,-0.531642779
35,-30,-0.746861288,-0.758507712,-30,-0.755482663,-0.765152337,-30,-0.191435749,-0.213401251,-30,-0.515597813,-0.526184187
36,-25,-0.741330843,-0.753122157,-25,-0.750480912,-0.760325088,-25,-0.184798583,-0.206927417,-25,-0.509035695,-0.519616305
37,-20,-0.734577095,-0.746582905,-20,-0.744368109,-0.754301891,-20,-0.176915611,-0.198991389,-20,-0.500708066,-0.511499934
38,-15,-0.726015875,-0.738168125,-15,-0.736575256,-0.746702744,-15,-0.166729482,-0.188845518,-15,-0.489879994,-0.500861006
39,-10,-0.713698941,-0.726058059,-10,-0.725593651,-0.735899349,-10,-0.152383887,-0.174267113,-10,-0.474665339,-0.485970661
40,-5,-0.6935397,-0.7060513,-5,-0.70690512,-0.71760488,-5,-0.127191785,-0.147958215,-5,-0.450577091,-0.462572909
41,0,-0.544502249,-0.564873751,0,-0.564413399,-0.580437601,0,0.004231327,0.001008673,0,-0.407082674,-0.420300326
42,5,0.728956952,0.716893048,5,0.730238016,0.719593984,5,0.372785034,0.317361966,,,
43,10,0.746929375,0.735365625,10,0.748192639,0.737895361,10,0.735364639,0.598038361,,,
44,15,0.757525332,0.746111668,15,0.758729247,0.748697753,15,1.054608332,0.863477668,,,
45,20,0.765076544,0.753920456,20,0.766215828,0.756329172,20,1.243831758,1.082881242,,,
46,25,0.770589537,0.759804463,25,0.77208396,0.76228404,25,1.352498736,1.206139264,,,
47,30,0.775573416,0.764839584,30,0.776840966,0.767131034,30,1.40281321,1.26518079,,,
48,35,0.779856787,0.769045213,35,0.780835665,0.771255335,35,1.430785444,1.301744556,,,
49,40,0.78346741,0.77261959,40,0.78435938,0.77490762,40,1.449636345,1.328194655,,,
50,45,0.786583533,0.775835467,45,0.787440329,0.778121671,45,1.463760117,1.348069883,,,
51,50,0.789402424,0.778682576,50,0.79026223,0.78092277,50,1.475143469,1.364125531,,,
52,55,0.79199784,0.78120816,55,0.792842271,0.783550729,55,1.484526654,1.377656346,,,
53,60,0.794326902,0.783676098,60,0.795083918,0.785972082,60,1.492506026,1.388997974,,,
54,65,0.79651043,0.78573957,65,0.797266089,0.788103911,65,1.499701907,1.398837093,,,
55,70,0.798525522,0.787917478,70,0.799223784,0.790170216,70,1.505873971,1.407781029,,,
56,75,0.800421696,0.789890304,75,0.801026255,0.792067745,75,1.511481848,1.415281152,,,
57,80,0.802224287,0.791500713,80,0.802747822,0.793825178,80,1.516568882,1.421876118,,,
58,85,0.803884569,0.793338431,85,0.804371386,0.795477614,85,1.521253508,1.428101492,,,
59,90,0.805428586,0.794923414,90,0.805929502,0.797101498,90,1.525527867,1.433855133,,,
60,95,0.806997936,0.796432064,95,0.807379637,0.798566363,95,1.529586502,1.438925498,,,
61,100,0.808418976,0.797846024,100,0.808724967,0.800017033,100,1.533246439,1.443777561,,,
62,105,0.809797542,0.799161458,105,0.810045891,0.801356109,105,1.536771343,1.448801657,,,
63,110,0.811075115,0.800491885,110,0.8112856,0.8026544,110,1.540026789,1.453043211,,,
64,115,0.812308654,0.801809346,115,0.812507733,0.803872267,115,1.543150379,1.456960621,,,
65,120,0.813466538,0.803008462,120,0.813643773,0.805077227,120,1.546092345,1.460798655,,,
66,125,0.814569035,0.804092965,125,0.814740473,0.806203527,125,1.548975677,1.464634323,,,
67,130,0.815350279,0.805208721,130,0.815804044,0.807320956,130,1.551664867,1.468281133,,,
68,135,0.816586785,0.806351215,135,0.816845433,0.808357567,135,1.554215342,1.471410658,,,
69,140,0.817540369,0.807393631,140,0.81783012,0.80938788,140,1.556592288,1.474717712,,,
70,145,0.818475429,0.808290571,145,0.818787608,0.810372392,145,1.558950126,1.477672874,,,
71,150,0.819392134,0.809320866,150,0.819691564,0.811355436,150,1.561269897,1.480609103,,,
72,155,0.820036328,0.810315672,155,0.820588855,0.812257145,155,1.563519655,1.483506345,,,
73,160,0.82111128,0.81116572,160,0.821464345,0.813169655,160,1.565540645,1.486131355,,,
74,165,0.821913111,0.812039889,165,0.822303424,0.814037576,165,1.567522336,1.488791664,,,
75,170,0.822717495,0.812924505,170,0.823127614,0.814888386,170,1.569384198,1.491298802,,,
76,175,0.82352145,0.81374855,175,0.823907581,0.815717419,175,1.57132653,1.49403347,,,
77,180,0.824326851,0.814482149,180,0.8246738,0.8165322,180,1.573194421,1.496257579,,,
78,185,0.825060183,0.815361817,185,0.825438814,0.817315186,185,1.574956185,1.498531815,,,
79,190,0.825755858,0.816159142,190,0.826163798,0.818076202,190,1.576610089,1.500623911,,,
80,195,0.826508191,0.816961809,195,0.826895768,0.818802232,195,1.578338406,1.502798594,,,
81,200,0.827096408,0.817708592,200,0.82756633,0.81953367,200,1.579948746,1.504730254,,,
